"","Code","ProjectBase","n"
"225","CRYPTPF","Nevada BMDO",1
"226","CRYPTPF","Nevada CCDO",3
"227","CRYPTPF","Nevada EKDO",11
"228","CRYPTPF","Nevada EYDO",13
"229","CRYPTPF","Nevada WMDO",5
"230","CRYPTPF","Utah Grand Staircase Escalante NM",19
"231","CRYPTPF","Wyoming Lander FO",7
"232","ERIOGPF","California NorCal",159
"233","ERIOGPF","Idaho Bruneau FO",6
"234","ERIOGPF","Nevada BMDO",9
"235","ERIOGPF","Nevada CCDO",29
"236","ERIOGPF","Nevada EKDO",10
"237","ERIOGPF","Nevada EYDO",19
"238","ERIOGPF","Nevada SNDO",1
"239","ERIOGPF","Nevada WMDO",2
"240","ERIOGPF","Washington Wenatchee  FO",8
"241","ERIOGPF","Wyoming Lander FO",15
"242","ERIOGSH","California NorCal",44
"243","ERIOGSH","Nevada CCDO",2
"244","ERIOGSH","Nevada EYDO",4
"245","ERIOGSH","Washington Wenatchee  FO",3
"246","PENSTPF","California NorCal",131
"247","PENSTPF","Idaho Bruneau FO",10
"248","PENSTPF","Nevada BMDO",1
"249","PENSTPF","Nevada CCDO",5
"250","PENSTPF","Nevada EKDO",34
"251","PENSTPF","Nevada EYDO",6
"252","PENSTPF","Nevada SNDO",1
"253","PENSTPF","Nevada WMDO",10
"254","PENSTPF","Utah Grand Staircase Escalante NM",2
"255","PENSTPF","Washington Wenatchee  FO",5
"256","PENSTPF","Wyoming Lander FO",16
"257","LUPINPF","California NorCal",220
"258","LUPINPF","Idaho Bruneau FO",8
"259","LUPINPF","Nevada BMDO",6
"260","LUPINPF","Nevada CCDO",11
"261","LUPINPF","Nevada EKDO",51
"262","LUPINPF","Nevada WMDO",12
"263","LUPINPF","Utah Grand Staircase Escalante NM",1
"264","LUPINPF","Washington Wenatchee  FO",19
"265","LUPINPF","Wyoming Lander FO",9
"266","PF03","California NorCal",4
"267","PF03","Colorado White River FO",10
"268","PF03","Nevada BMDO",3
"269","PF03","Nevada CCDO",3
"270","PF03","Nevada EKDO",12
"271","PF03","Nevada EYDO",1
"272","PF03","Nevada SNDO",1
"273","PF03","Nevada Winnemucca ESR",2
"274","PF03","Nevada WMDO",19
"275","AF04","California NorCal",5
"276","AF04","Colorado White River FO",1
"277","AF04","Jackson Mountains",1
"278","AF04","Nevada BMDO",9
"279","AF04","Nevada CCDO",6
"280","AF04","Nevada EKDO",2
"281","AF04","Nevada EYDO",3
"282","AF04","Nevada SNDO",3
"283","AF04","Nevada Winnemucca ESR",2
"284","AF04","Nevada WMDO",11
"285","AF05","California NorCal",4
"286","AF05","Colorado White River FO",4
"287","AF05","Jackson Mountains",1
"288","AF05","Nevada BMDO",4
"289","AF05","Nevada CCDO",3
"290","AF05","Nevada EKDO",2
"291","AF05","Nevada EYDO",1
"292","AF05","Nevada Winnemucca ESR",2
"293","AF05","Nevada WMDO",5
"294","AF05","New Mexico RGdNNM",1
"295","PF01","California NorCal",4
"296","PF01","California SurpriseFO ESR",12
"297","PF01","Colorado White River FO",34
"298","PF01","Nevada BMDO",3
"299","PF01","Nevada CCDO",4
"300","PF01","Nevada EKDO",14
"301","PF01","Nevada EYDO",8
"302","PF01","Nevada Winnemucca ESR",5
"303","PF01","Nevada WMDO",13
"304","PF01","Utah Grand Staircase Escalante NM",2
"305","PF02","California NorCal",3
"306","PF02","California SurpriseFO ESR",3
"307","PF02","Colorado White River FO",11
"308","PF02","Jackson Mountains",1
"309","PF02","Nevada BMDO",1
"310","PF02","Nevada CCDO",3
"311","PF02","Nevada EKDO",4
"312","PF02","Nevada EYDO",4
"313","PF02","Nevada SNDO",3
"314","PF02","Nevada Winnemucca ESR",2
"315","PF02","Nevada WMDO",25
"316","AF01","California NorCal",6
"317","AF01","California SurpriseFO ESR",12
"318","AF01","Colorado White River FO",45
"319","AF01","Jackson Mountains",5
"320","AF01","Nevada BMDO",37
