"","Code","ProjectBase","n"
"1361","SH50","Nevada Winnemucca ESR",1
"1362","AF76","California NorCal",1
"1363","AF76","Nevada CCDO",3
"1364","AF77","California NorCal",1
"1365","AF77","Nevada CCDO",3
"1366","LOPLA","Nevada BMDO",3
"1367","PG90","Nevada BMDO",2
"1368","PF28","California NorCal",4
"1369","PF28","Nevada BMDO",1
"1370","PF27","California NorCal",4
"1371","PF27","Nevada BMDO",1
"1372","PF27","Wyoming Lander FO",3
"1373","PF33","California NorCal",2
"1374","PF33","Nevada BMDO",1
"1375","AF28","California NorCal",3
"1376","AF28","Nevada BMDO",1
"1377","AF28","Nevada SNDO",1
"1378","AF28","Nevada Winnemucca ESR",1
"1379","PF34","California NorCal",2
"1380","PF34","Nevada BMDO",1
"1381","PF34","Nevada Winnemucca ESR",1
"1382","PF35","California NorCal",2
"1383","PF35","Nevada BMDO",1
"1384","PF35","Nevada Winnemucca ESR",1
"1385","PF90","California NorCal",1
"1386","PF90","Nevada BMDO",2
"1387","CREPIS SP","Nevada Winnemucca ESR",1
"1388","ERIGONUM SP.","Nevada Winnemucca ESR",1
"1389","BRASS01","Nevada Winnemucca ESR",1
"1390","PFO3","Nevada Winnemucca ESR",1
"1391","SHO3","Nevada Winnemucca ESR",1
"1392","GARAC","Nevada Winnemucca ESR",1
"1393","CHAMA15AF","California Riverside East SEZ",4
"1394","CHAMA15AF","Nevada CCDO",2
"1395","CHAMA15AF","Nevada EYDO",4
"1396","CHAMA15AF","Nevada SNDO",8
"1397","CHAMA15AF","Washington Wenatchee  FO",1
"1398","SH10","California NorCal",1
"1399","SH10","Nevada CCDO",2
"1400","SH10","Nevada SNDO",1
"1401","SH10","Nevada Winnemucca ESR",1
"1402","SH10","Nevada WMDO",1
"1403","BRASS2AF","Idaho Bruneau FO",1
"1404","BRASS2AF","Nevada CCDO",4
"1405","BRASS2AF","Nevada EKDO",4
"1406","DELPHPF","California NorCal",15
"1407","DELPHPF","Washington Wenatchee  FO",8
"1408","DELPHPF","Wyoming Lander FO",6
"1409","ERIGE2SH","California NorCal",2
"1410","LOMATPF","California NorCal",114
"1411","LOMATPF","Idaho Bruneau FO",5
"1412","LOMATPF","Nevada CCDO",1
"1413","LOMATPF","Nevada EKDO",18
"1414","LOMATPF","Nevada EYDO",4
"1415","LOMATPF","Nevada WMDO",1
"1416","LOMATPF","Washington Wenatchee  FO",19
"1417","LOMATPF","Wyoming Lander FO",1
"1418","PF78","California NorCal",3
"1419","SH79","California NorCal",1
"1420","PF74","California NorCal",2
"1421","PG71","California NorCal",1
"1422","AG07","California NorCal",1
"1423","PF102","California NorCal",2
"1424","PF102","Wyoming Lander FO",1
"1425","PF103","California NorCal",2
"1426","AF45","California NorCal",1
"1427","PG23","California NorCal",2
"1428","PG19","California NorCal",1
"1429","PG19","New Mexico RGdNNM",2
"1430","SH19","California NorCal",1
"1431","CRHY","Nevada SNDO",3
"1432","UNK LEGUME","Nevada SNDO",1
"1433","unk1","Nevada SNDO",13
"1434","GRXX","Nevada EKDO",1
"1435","GRXX","Nevada SNDO",1
"1436","SHXX","Nevada SNDO",1
"1437","lin sp","Nevada SNDO",4
"1438","dead shrub","Nevada SNDO",5
"1439","cyrp sp","Nevada SNDO",4
"1440","CHAENAC SP","Nevada SNDO",2
"1441","ER sp","Nevada SNDO",2
"1442","GILAT","Nevada SNDO",5
"1443","LI sp","Nevada SNDO",1
"1444","LIAU","Nevada SNDO",6
"1445","LINE3","Nevada SNDO",3
"1446","dead bush","Nevada SNDO",6
"1447","SH12","California NorCal",2
"1448","SH12","Nevada EYDO",1
"1449","SH12","Nevada SNDO",1
"1450","PG105","California NorCal",1
"1451","PG105","Nevada Winnemucca ESR",1
"1452","PG13","California NorCal",4
"1453","PG13","Colorado San Luis Valley FO",1
"1454","PG99","California NorCal",1
"1455","PG99","Nevada Winnemucca ESR",1
"1456","CRFC6","Colorado White River FO",3
"1457","ERVO","Colorado White River FO",3
"1458","CHNA2","Colorado White River FO",41
"1459","MEAL2","Nevada Winnemucca ESR",1
"1460","SAAU3","Colorado White River FO",1
"1461","AGSP","Colorado White River FO",1
"1462","AGSP","Nevada WMDO",2
"1463","ARABI02","Colorado White River FO",7
"1464","AG03","California NorCal",2
"1465","AG03","Colorado White River FO",4
"1466","AG03","Nevada EYDO",1
"1467","GIPI","Colorado White River FO",1
"1468","ACHNAPG01","Nevada EKDO",1
"1469","MENTZAF02","Nevada EKDO",2
"1470","PIGLE","Colorado White River FO",4
"1471","KOAM","Colorado White River FO",2
"1472","UUFF","Colorado White River FO",1
"1473","CACH7","Colorado Gunnison FO",4
"1474","CACH7","Colorado White River FO",1
"1475","HYIV","Colorado White River FO",1
"1476","SH05","California NorCal",2
"1477","SH05","Colorado White River FO",2
"1478","SH05","Nevada EKDO",1
"1479","SH05","Nevada SNDO",2
"1480","SH05","Nevada WMDO",2
"1481","GILIAAF02","Nevada EKDO",1
"1482","AF27","California NorCal",4
"1483","AF27","Nevada BMDO",1
"1484","AF27","Nevada SNDO",1
"1485","AF27","Nevada Winnemucca ESR",3
"1486","MIRABPF","California Riverside East SEZ",1
"1487","MIRABPF","Nevada CCDO",1
"1488","MIRABPF","Nevada SNDO",8
"1489","SH15","Nevada SNDO",1
"1490","CENTAAF01","Nevada EYDO",2
"1491","PHACEFAF01","Nevada EYDO",1
"1492","XYLORPF01","Nevada EYDO",3
"1493","BRASSAF01","Nevada EYDO",1
"1494","ECHIN2SUC01","Nevada EYDO",1
"1495","ARISTPG01","Nevada EYDO",1
"1496","CYMOP2PF","Nevada WMDO",23
"1497","CYMOP2PF","Utah Grand Staircase Escalante NM",5
"1498","CYMOP2PF","Wyoming Lander FO",2
"1499","SYMPHSH","California NorCal",8
"1500","SYMPHSH","Nevada WMDO",6
"1501","SYMPHSH","Washington Wenatchee  FO",2
"1502","AGOSEPF","California NorCal",2
"1503","AGOSEPF","Nevada WMDO",2
"1504","AGOSEPF","Washington Wenatchee  FO",6
"1505","AGOSEPF","Wyoming Lander FO",1
"1506","CIRSIAF","California NorCal",22
"1507","CIRSIAF","Idaho Bruneau FO",1
"1508","CIRSIAF","Nevada EKDO",2
"1509","CIRSIAF","Nevada WMDO",5
"1510","PRUNUSH","California NorCal",1
"1511","PRUNUSH","Nevada WMDO",5
"1512","HORDEPG","Nevada WMDO",2
"1513","DELPHP","Nevada SNDO",1
"1514","PLANTA","Nevada SNDO",1
"1515","STEPHPF","Nevada WMDO",9
"1516","TRIFOAF","California NorCal",1
"1517","TRIFOAF","Nevada WMDO",1
"1518","MALAC3AF","Nevada WMDO",2
"1519","EUPHSP","Arizona Agua Fria NM",1
"1520","UNKNOWN","Arizona Agua Fria NM",1
"1521","OECE2","Nevada Winnemucca ESR",2
"1522","AF200","Nevada Winnemucca ESR",4
"1523","PF200","Nevada Winnemucca ESR",3
"1524","SH200","Nevada Winnemucca ESR",3
"1525","AG200","Nevada Winnemucca ESR",1
"1526","PF121","California NorCal",1
"1527","PF121","Nevada Winnemucca ESR",1
"1528","AG101","Nevada Winnemucca ESR",1
"1529","PF123","Nevada Winnemucca ESR",1
"1530","PF123","Wyoming Lander FO",1
"1531","EPILOA","Nevada Winnemucca ESR",9
"1532","CERCOSH","Nevada BMDO",1
"1533","SH54","Nevada BMDO",1
"1534","SH14","Nevada SNDO",1
"1535","PG91","Nevada BMDO",1
"1536","AF2","Nevada Winnemucca ESR",5
"1537","AF3","Nevada Winnemucca ESR",2
"1538","PF2","Nevada Winnemucca ESR",5
"1539","PF4","Nevada Winnemucca ESR",2
"1540","ERIOG3","Nevada Winnemucca ESR",1
"1541","SH1","Jackson Mountains",3
"1542","SH1","Nevada Winnemucca ESR",1
"1543","PG1","Nevada Winnemucca ESR",1
"1544","SALSOAF","Nevada WMDO",7
"1545","TETRA3SH","Nevada BMDO",1
"1546","CALOCP","Nevada SNDO",1
"1547","RUMEXP","Nevada SNDO",1
"1548","RUMEXP","Nevada Winnemucca ESR",1
"1549","PHACEPF","California NorCal",12
"1550","PHACEPF","Nevada EKDO",1
"1551","PHACEPF","Nevada WMDO",5
"1552","PHACEPF","Washington Wenatchee  FO",1
"1553","ENCELSH","Nevada SNDO",1
"1554","PECTOAF","Nevada SNDO",2
"1555","MENTZPF","California Riverside East SEZ",1
"1556","MENTZPF","Nevada SNDO",2
"1557","AG05","California NorCal",2
"1558","AG05","Nevada SNDO",2
"1559","AG05","Washington Wenatchee  FO",1
"1560","CAULAPF","Nevada CCDO",1
"1561","CAULAPF","Nevada EKDO",1
"1562","SILENPF01","Nevada EKDO",1
"1563","AF32","California NorCal",3
"1564","AF32","Nevada Winnemucca ESR",2
"1565","PPAA","Nevada Winnemucca ESR",1
"1566","PF57","California NorCal",1
"1567","PF57","Nevada Winnemucca ESR",1
"1568","PF58","California NorCal",1
"1569","PF58","Nevada Winnemucca ESR",1
"1570","AF26","California NorCal",2
"1571","AF26","Nevada Winnemucca ESR",1
"1572","CHEX","Arizona Agua Fria NM",1
"1573","CANU14","Colorado White River FO",2
"1574","SIAL11","Colorado White River FO",2
"1575","HYPA7","Utah Grand Staircase Escalante NM",1
"1576","SATR13","Colorado White River FO",5
"1577","MIMULAF","California NorCal",2
"1578","MIMULAF","Nevada CCDO",1
"1579","PF54","California NorCal",1
"1580","PF54","Nevada Winnemucca ESR",1
"1581","aggl","Nevada EKDO",2
"1582","alliu","Nevada EKDO",2
"1583","PPGG1","Nevada EKDO",6
"1584","GISI2","Nevada EKDO",1
"1585","BAHX","Nevada EKDO",1
"1586","PPFF1","Nevada EKDO",2
"1587","GREEN UNK","Nevada EYDO",1
"1588","DAND","Nevada EYDO",1
"1589","SPURGE","Nevada EYDO",1
"1590","GREEN STICKY SMALL","Nevada EYDO",1
"1591","UNK HAAC","Nevada EYDO",1
"1592","UNK COMBSEED","Nevada EYDO",1
"1593","UNK BALL SEED","Nevada EYDO",3
"1594","UNKNOWN GRASS","Nevada EYDO",1
"1595","UNK YELLOW BRASS","Nevada EYDO",1
"1596","SHRUB CREOSOTE LOOK ALIKE","Nevada EYDO",1
"1597","CRYPT03","Nevada EYDO",1
"1598","ERIOG01 WHITE FLOWER RED SEPAL","Nevada EYDO",1
"1599","LOMAT 01","Nevada EYDO",1
"1600","LEPID01","Nevada EYDO",1
"1601","TR02","California NorCal",1
"1602","TR02","Nevada EYDO",1
"1603","TR01","Nevada EYDO",1
"1604","ERIOG02","Nevada EYDO",1
"1605","SALIX SP","Nevada SNDO",1
"1606","UNK SALT BUSH","Nevada SNDO",1
"1607","DEAD TREE","Nevada SNDO",1
"1608","UNK1","Nevada SNDO",1
"1609","UNK3","Nevada SNDO",1
"1610","OPER","Nevada SNDO",5
"1611","UNK2","Nevada SNDO",2
"1612","CA SP","Nevada SNDO",1
"1613","SANDCRESS","Nevada SNDO",1
"1614","CAAN","Nevada WMDO",1
"1615","MINT","Nevada WMDO",1
"1616","SHAG","Nevada WMDO",1
"1617","PAGAB","Nevada WMDO",1
"1618","ELSM","Nevada WMDO",1
"1619","SPHAEPF","California NorCal",3
"1620","ARNICPF","California NorCal",1
"1621","GALIUPF","California NorCal",3
"1622","GALIUPF","Washington Wenatchee  FO",1
"1623","PF70","California NorCal",2
"1624","PF70","Nevada Winnemucca ESR",1
"1625","PRUNUTR","California NorCal",1
"1626","ACHNAPG","California NorCal",2
"1627","ACHNAPG","Nevada EYDO",2
"1628","ACHNAPG","Utah Grand Staircase Escalante NM",1
"1629","ACHNAPG","Washington Wenatchee  FO",7
"1630","ACHNAPG","Wyoming Lander FO",1
"1631","AMELASH","California NorCal",8
"1632","SENECAF","California NorCal",6
"1633","SILENPF","California NorCal",4
"1634","SILENPF","Washington Wenatchee  FO",3
"1635","TRIFOPF","California NorCal",5
"1636","TRIFOPF","Wyoming Lander FO",1
"1637","HESPE7AF","California NorCal",3
"1638","PYRROPF","California NorCal",2
"1639","PF63","California NorCal",4
"1640","LINUMPF","California NorCal",1
"1641","LINUMPF","Washington Wenatchee  FO",1
"1642","FRITIPF","California NorCal",2
"1643","HIERAPF","California NorCal",2
"1644","PF61","California NorCal",3
"1645","PF61","Wyoming Lander FO",3
"1646","ARTEMPF","California NorCal",1
"1647","ARTEMPF","Washington Wenatchee  FO",1
"1648","BRODIPF","California NorCal",4
"1649","BROMUAG","California NorCal",2
"1650","BROMUAG","Washington Wenatchee  FO",12
"1651","MADIAAF","California NorCal",4
"1652","MADIAAF","Washington Wenatchee  FO",6
"1653","VIOLAPF","California NorCal",1
"1654","VIOLAPF","Wyoming Lander FO",1
"1655","VULPIAG","California NorCal",4
"1656","VULPIAG","Washington Wenatchee  FO",10
"1657","CHORI2AF","California NorCal",1
"1658","CHORI2AF","Washington Wenatchee  FO",1
"1659","LOTUSAF","California NorCal",3
"1660","LOTUSAF","California Riverside East SEZ",1
"1661","LOTUSAF","Washington Wenatchee  FO",3
"1662","RANUNPF","California NorCal",1
"1663","LAGOPAF","California NorCal",3
"1664","ARENAPF","California NorCal",8
"1665","ARENAPF","Washington Wenatchee  FO",1
"1666","JUNCUPG","California NorCal",1
"1667","JUNCUPG","Washington Wenatchee  FO",2
"1668","SIDALPF","California NorCal",3
"1669","PF59","California NorCal",2
"1670","PF62","California NorCal",3
"1671","PF65","California NorCal",2
"1672","ASTERAPF","California NorCal",24
"1673","ASTERAPF","Nevada BMDO",1
"1674","MELICPG","California NorCal",1
"1675","PF85","California NorCal",2
"1676","PF85","Wyoming Lander FO",1
"1677","PG17","California NorCal",2
"1678","PG17","New Mexico RGdNNM",1
"1679","PG18","California NorCal",1
"1680","ASTERAAF","California NorCal",10
"1681","ASTERAAF","Nevada SNDO",5
"1682","SH28","California NorCal",1
"1683","PF81","California NorCal",2
"1684","PF81","Wyoming Lander FO",1
"1685","PG22","California NorCal",1
"1686","PF84","California NorCal",2
"1687","PFPF","Nevada Winnemucca ESR",7
"1688","PFPF","Nevada WMDO",2
"1689","CIRSIPF","California NorCal",6
"1690","CIRSIPF","Idaho Bruneau FO",10
"1691","CIRSIPF","Nevada EKDO",11
"1692","CIRSIPF","Washington Wenatchee  FO",2
"1693","CIRSIPF","Wyoming Lander FO",2
"1694","MEAL12","Utah Grand Staircase Escalante NM",1
"1695","CHENO1","Colorado White River FO",3
"1696","POA1","Colorado White River FO",1
"1697","AGAGAG","Nevada Winnemucca ESR",2
"1698","PG14","California NorCal",2
"1699","PF79","California NorCal",2
"1700","PF79","Wyoming Lander FO",1
"1701","PG78","California NorCal",1
"1702","PG79","California NorCal",1
"1703","AF34","California NorCal",3
"1704","AG06","California NorCal",1
"1705","PF72","California NorCal",1
"1706","PF73","California NorCal",1
"1707","PF97","California NorCal",1
"1708","PF98","California NorCal",1
"1709","PF141","California NorCal",2
"1710","PF172","California NorCal",1
"1711","PF172","Wyoming Lander FO",1
"1712","PF173","California NorCal",1
"1713","PF174","California NorCal",1
"1714","PG28","California NorCal",1
"1715","AG04","California NorCal",1
"1716","AG04","Nevada EYDO",1
"1717","AF85","California NorCal",1
"1718","PF168","California NorCal",1
"1719","PF168","Wyoming Lander FO",1
"1720","AF90","California NorCal",1
"1721","AF87","California NorCal",1
"1722","AF88","California NorCal",1
"1723","AF89","California NorCal",1
"1724","PG15","California NorCal",1
"1725","PG15","New Mexico RGdNNM",1
"1726","PG15","Wyoming Lander FO",1
"1727","PF64","California NorCal",1
"1728","PF64","Wyoming Lander FO",1
"1729","SH26","California NorCal",1
"1730","PF66","California NorCal",1
"1731","PF67","California NorCal",1
"1732","PF67","Wyoming Lander FO",1
"1733","PF68","California NorCal",1
"1734","PF68","Wyoming Lander FO",1
"1735","PF69","California NorCal",1
"1736","PG16","California NorCal",1
"1737","PF80","California NorCal",1
"1738","PF82","California NorCal",1
"1739","PF82","Wyoming Lander FO",2
"1740","PF83","California NorCal",1
"1741","PF86","California NorCal",1
"1742","PF75","California NorCal",1
"1743","PF159","California NorCal",1
"1744","PF161","California NorCal",1
"1745","PF162","California NorCal",1
"1746","PF163","California NorCal",1
"1747","PF164","California NorCal",1
"1748","PF164","Wyoming Lander FO",1
"1749","PF166","California NorCal",1
"1750","PF166","Wyoming Lander FO",1
"1751","PF167","California NorCal",1
"1752","PF71","California NorCal",1
"1753","PF36","California NorCal",1
"1754","PF36","Wyoming Lander FO",1
"1755","PF87","California NorCal",1
"1756","PF88","California NorCal",1
"1757","PF89","California NorCal",1
"1758","PF91","California NorCal",1
"1759","PF92","California NorCal",1
"1760","PF92","Wyoming Lander FO",1
"1761","PF93","California NorCal",1
"1762","PF93","Wyoming Lander FO",3
"1763","SH20","California NorCal",1
"1764","PG25","California NorCal",1
"1765","SH21","California NorCal",2
"1766","PG26","California NorCal",1
"1767","PF126","California NorCal",7
"1768","PF127","California NorCal",1
"1769","PF128","California NorCal",1
"1770","PF129","California NorCal",1
"1771","PF130","California NorCal",1
"1772","PF131","California NorCal",1
"1773","PF132","California NorCal",1
"1774","PF133","California NorCal",1
"1775","PF133","Wyoming Lander FO",1
"1776","PF134","California NorCal",1
"1777","SH22","California NorCal",1
"1778","PF124","California NorCal",1
"1779","PF94","California NorCal",1
"1780","PF95","California NorCal",1
"1781","PF95","Wyoming Lander FO",1
"1782","PF96","California NorCal",1
"1783","PF96","Wyoming Lander FO",1
"1784","PG21","California NorCal",1
"1785","PF137","California NorCal",1
"1786","PF137","Wyoming Lander FO",1
"1787","SH23","California NorCal",1
"1788","SH24","California NorCal",1
"1789","AF72","California NorCal",1
"1790","PF136","California NorCal",1
"1791","PF138","California NorCal",1
"1792","PF139","California NorCal",1
"1793","PF140","California NorCal",1
"1794","PG29","California NorCal",1
"1795","SH25","California NorCal",1
"1796","PF142","California NorCal",1
"1797","PF143","California NorCal",1
"1798","PF144","California NorCal",1
"1799","PF145","California NorCal",1
"1800","PF145","Wyoming Lander FO",1
"1801","PG30","California NorCal",1
"1802","AF78","California NorCal",1
"1803","AF80","California NorCal",1
"1804","AF81","California NorCal",1
"1805","PF146","California NorCal",2
"1806","PF147","California NorCal",1
"1807","PF147","Wyoming Lander FO",1
"1808","PF148","California NorCal",1
"1809","PF149","California NorCal",1
"1810","PF152","California NorCal",1
"1811","PF153","California NorCal",1
"1812","PG27","California NorCal",1
"1813","AF84","California NorCal",1
"1814","PF154","California NorCal",1
"1815","PF156","California NorCal",1
"1816","PF157","California NorCal",1
"1817","NAVARAF","California NorCal",5
"1818","HELIA3PF","California NorCal",3
"1819","PF201","California NorCal",1
"1820","PF221","California NorCal",1
"1821","PF222","California NorCal",1
"1822","PF223","California NorCal",1
"1823","PG209","California NorCal",1
"1824","AF206","California NorCal",1
"1825","PF224","California NorCal",1
"1826","PG202","California NorCal",1
"1827","PG202","Wyoming Lander FO",1
"1828","AG203","California NorCal",5
"1829","PF204","California NorCal",1
"1830","PF225","California NorCal",1
"1831","PF225","Wyoming Lander FO",1
"1832","PF226","California NorCal",1
"1833","SH202","California NorCal",1
"1834","SH206","California NorCal",1
"1835","SH214","California NorCal",1
"1836","AF201","California NorCal",2
"1837","AF207","California NorCal",1
"1838","AG202","California NorCal",2
"1839","PERIDPF","California NorCal",8
"1840","PERIDPF","Washington Wenatchee  FO",2
"1841","PG203","California NorCal",1
"1842","PINUSTR","California NorCal",4
"1843","POLYG4PF","California NorCal",1
"1844","ASCLEPF","California NorCal",1
"1845","ASCLEPF","Utah Grand Staircase Escalante NM",1
"1846","PF227","California NorCal",1
"1847","POLYG4AF","California NorCal",1
"1848","POLYG4AF","Nevada EKDO",1
"1849","POLYG4AF","Washington Wenatchee  FO",9
"1850","PF207","California NorCal",1
"1851","CLARKAF","California NorCal",5
"1852","PACKEPF","California NorCal",8
"1853","PF228","California NorCal",1
"1854","PF229","California NorCal",1
"1855","PG210","California NorCal",1
"1856","PG210","Wyoming Lander FO",1
"1857","SH210","California NorCal",6
"1858","AF208","California NorCal",1
"1859","PF230","California NorCal",1
"1860","PF231","California NorCal",1
"1861","PF232","California NorCal",1
"1862","PF232","Wyoming Lander FO",5
"1863","PF233","California NorCal",1
"1864","PF233","Wyoming Lander FO",3
"1865","AF211","California NorCal",3
"1866","AF212","California NorCal",1
"1867","AF213","California NorCal",1
"1868","AF213","Wyoming Lander FO",1
"1869","AF214","California NorCal",1
"1870","AF215","California NorCal",1
"1871","AF244","California NorCal",1
"1872","BROMUPG","California NorCal",2
"1873","HELIA3AF","California NorCal",1
"1874","HELIA3AF","Wyoming Lander FO",1
"1875","AF210","California NorCal",1
"1876","PF209","California NorCal",1
"1877","PF234","California NorCal",1
"1878","PF235","California NorCal",1
"1879","PF235","Wyoming Lander FO",1
"1880","SH215","California NorCal",1
"1881","PF236","California NorCal",1
"1882","PF237","California NorCal",1
"1883","PF238","California NorCal",1
"1884","AF216","California NorCal",1
"1885","AF217","California NorCal",1
"1886","PF239","California NorCal",1
"1887","PG211","California NorCal",1
"1888","AF218","California NorCal",1
"1889","AF219","California NorCal",1
"1890","AF220","California NorCal",1
"1891","AF221","California NorCal",1
"1892","PF240","California NorCal",1
"1893","PG212","California NorCal",1
"1894","AF222","California NorCal",1
"1895","AF223","California NorCal",1
"1896","PF214","California NorCal",1
"1897","PF215","California NorCal",1
"1898","PF215","Wyoming Lander FO",3
"1899","PF241","California NorCal",1
"1900","PF242","California NorCal",1
"1901","PF243","California NorCal",1
"1902","OROBAAF","California NorCal",2
"1903","PF244","California NorCal",1
"1904","PF245","California NorCal",1
"1905","AF205","California NorCal",3
"1906","AF224","California NorCal",1
"1907","NICOTAF","California NorCal",2
"1908","PF246","California NorCal",1
"1909","AF225","California NorCal",1
"1910","AF226","California NorCal",1
"1911","PF247","California NorCal",1
"1912","PF248","California NorCal",1
"1913","PG213","California NorCal",1
"1914","AF227","California NorCal",1
"1915","PF249","California NorCal",1
"1916","PF250","California NorCal",1
"1917","AF228","California NorCal",1
"1918","AF229","California NorCal",1
"1919","MACHAAF","California NorCal",1
"1920","AF230","California NorCal",1
"1921","PF251","California NorCal",1
"1922","PF252","California NorCal",1
"1923","AF231","California NorCal",1
"1924","PF253","California NorCal",1
"1925","PF217","California NorCal",3
"1926","PF254","California NorCal",1
"1927","PF255","California NorCal",1
"1928","AF232","California NorCal",1
"1929","SALIXSH","California NorCal",2
"1930","SALIXSH","Utah Grand Staircase Escalante NM",1
"1931","ELYMUPG","California NorCal",1
"1932","PF218","California NorCal",1
"1933","PF258","California NorCal",1
"1934","SH212","California NorCal",1
"1935","TR03","California NorCal",1
"1936","AF233","California NorCal",1
"1937","PF259","California NorCal",1
"1938","AF234","California NorCal",2
"1939","MACHAPF","California NorCal",1
"1940","PG214","California NorCal",1
"1941","AF235","California NorCal",1
"1942","AF236","California NorCal",1
"1943","AF237","California NorCal",1
"1944","AF238","California NorCal",1
"1945","AF239","California NorCal",1
"1946","PG215","California NorCal",1
"1947","SH216","California NorCal",1
"1948","AF240","California NorCal",1
"1949","AF241","California NorCal",1
"1950","AF242","California NorCal",1
"1951","AF243","California NorCal",1
"1952","PF191","Nevada Winnemucca ESR",3
"1953","AGAGA","Nevada Winnemucca ESR",1
"1954","GALIUA","Nevada Winnemucca ESR",10
"1955","AF183","Nevada Winnemucca ESR",3
"1956","AF184","Nevada Winnemucca ESR",1
"1957","AF185","Nevada Winnemucca ESR",2
"1958","AG152","Nevada Winnemucca ESR",1
"1959","JUNCUA","Nevada Winnemucca ESR",1
"1960","PF185","Nevada Winnemucca ESR",2
"1961","SILENP","Nevada Winnemucca ESR",2
"1962","PG184","Nevada Winnemucca ESR",1
"1963","SENECA","Nevada Winnemucca ESR",1
"1964","SHPP","Nevada Winnemucca ESR",1
"1965","PF188","Nevada Winnemucca ESR",2
"1966","GALIUM","Nevada Winnemucca ESR",1
"1967","ARABI2P","Nevada Winnemucca ESR",6
"1968","PF187","Nevada Winnemucca ESR",2
"1969","GERANP","Nevada Winnemucca ESR",1
"1970","PF189","Nevada Winnemucca ESR",1
"1971","SENECP","Nevada Winnemucca ESR",4
"1972","AF186","Nevada Winnemucca ESR",2
"1973","AF187","Nevada Winnemucca ESR",2
"1974","PF190","Nevada Winnemucca ESR",3
"1975","PF192","Nevada Winnemucca ESR",1
"1976","SH168","Nevada Winnemucca ESR",1
"1977","SH169","Nevada Winnemucca ESR",1
"1978","SILENA","Nevada Winnemucca ESR",1
"1979","AF180","Nevada Winnemucca ESR",3
"1980","PF184","Nevada Winnemucca ESR",1
"1981","SH158","Nevada Winnemucca ESR",3
"1982","JUNCUP","Nevada Winnemucca ESR",3
"1983","ELTR3","Nevada Winnemucca ESR",1
"1984","AF181","Nevada Winnemucca ESR",1
"1985","SH166","Nevada Winnemucca ESR",1
"1986","TRIFOA","Nevada Winnemucca ESR",2
"1987","PG156","Nevada Winnemucca ESR",1
"1988","ALLIUA","Nevada Winnemucca ESR",1
"1989","CIRSIA","Nevada Winnemucca ESR",2
"1990","PG157","Nevada Winnemucca ESR",1
"1991","CLAYTA","Nevada Winnemucca ESR",2
"1992","PG158","Nevada Winnemucca ESR",1
"1993","PG159","Nevada Winnemucca ESR",1
"1994","ASTRA2P","Nevada Winnemucca ESR",1
"1995","PF186","Nevada Winnemucca ESR",1
"1996","AF188","Nevada Winnemucca ESR",1
"1997","ERIOG2P","Nevada Winnemucca ESR",1
"1998","PF183","Nevada Winnemucca ESR",1
"1999","ERCOC13","Colorado White River FO",1
"2000","HANU2","Colorado White River FO",10
"2001","ORBA4","Colorado White River FO",3
"2002","FOME","Colorado White River FO",1
"2003","STJA3","Colorado White River FO",1
"2004","DIST3","Colorado White River FO",1
"2005","CECA11","Colorado White River FO",12
"2006","TUGL","Colorado White River FO",2
"2007","AMALU","Colorado White River FO",8
"2008","LESQUPF","Wyoming Lander FO",1
"2009","TRAGOAF","Wyoming Lander FO",8
"2010","OXYTRPF","Wyoming Lander FO",2
"2011","PF113","Wyoming Lander FO",1
"2012","OESU3","Wyoming Lander FO",14
"2013","POHU","Colorado White River FO",1
"2014","ABBI3","Colorado White River FO",1
"2015","ARCOP2","Colorado White River FO",1
"2016","ELCA15","Colorado White River FO",1
"2017","OSCH","Colorado White River FO",1
"2018","DESO","Colorado White River FO",1
"2019","AQFOF3","Colorado White River FO",1
"2020","HESPM","Colorado White River FO",1
"2021","ORHU2","Colorado White River FO",1
"2022","PENST02","Colorado White River FO",1
"2023","ARTRV2","Colorado White River FO",2
"2024","BOLI6","Colorado White River FO",1
"2025","LALAL","Colorado White River FO",1
"2026","ORNI","Colorado White River FO",3
"2027","28_PF_03","Colorado White River FO",2
"2028","28_PG_02","Colorado White River FO",1
"2029","BOPA14","Colorado White River FO",4
"2030","ORFL3","Colorado White River FO",1
"2031","DESCR","Colorado White River FO",1
"2032","EPILOAF","Washington Wenatchee  FO",8
"2033","EPILOAF","Wyoming Lander FO",1
"2034","OENOTAF","Wyoming Lander FO",1
"2035","PG200","Wyoming Lander FO",1
"2036","SOLIDAF","Wyoming Lander FO",2
"2037","PF206","Wyoming Lander FO",5
"2038","CAREXPS","Wyoming Lander FO",3
"2039","LEPTO22AF","Wyoming Lander FO",2
"2040","DRABAAF","Washington Wenatchee  FO",2
"2041","DRABAAF","Wyoming Lander FO",3
"2042","SENECPF","California NorCal",2
"2043","SENECPF","Nevada EKDO",2
"2044","SENECPF","Wyoming Lander FO",1
"2045","CAMELAF","Wyoming Lander FO",2
"2046","brja","California Applegate FO",2
"2047","SILENAF","Wyoming Lander FO",3
"2048","GERANPF","Wyoming Lander FO",1
"2049","CALAMPG","Wyoming Lander FO",1
"2050","HEUCHPF","Wyoming Lander FO",1
"2051","PF169","Wyoming Lander FO",1
"2052","PF170","Wyoming Lander FO",1
"2053","TARAXPF","Wyoming Lander FO",3
"2054","LINAN2AF","Nevada SNDO",1
"2055","POCA","California Applegate FO",16
"2056","BRASSIAF","California NorCal",4
