"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ANNUAL","ARAD","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","GOOD.ARTEMISIA","HIMTNMEADOWSPP","OTHER.ALLIUM","SHRUB","SUB.SHRUB","CXPED","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","SITENAME","LINEID","TOTALWTHECTARE","RC.Class","state.Class"
"339",340,2012,"BU-RASHAANT","ERCHIMIIN AR1","BU-Rashaant / Erchimiin ar1","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,2.25,0,0,42.25,2.5,2.5,0,0,0,0,2.5,0,0,0,0,0,71.25,NA,0,0,0.75,6.25,0,0,0,0,98,1.75,8,"Bulgan-Rashaant",1,1004.623535,"I","1"
"340",341,2012,"BU-RASHAANT","TAVAN TSOHIO2","BU-Rashaant / Tavan tsohio2","III","Sandy loam",8,2,2.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,14,0,0,2,0,0,0,0,0,25.75,3.25,0,0,0,0,0,3.25,NA,0,0,0.75,0,0,0,24,1.75,49,51,8,"Bulgan-Rashaant",1,128.803009,"IV","4"
"341",342,2012,"BU-RASHAANT","TEEG TOLGOI3","BU-Rashaant / Teeg tolgoi3","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,6,0,0,3.5,15.75,15.75,0,0,0,0.5,7.25,0,0,0,0,0,79.75,NA,0,0,9,0,0,0,0,0.5,93,5.25,9,"Bulgan-Rashaant",1,1423.833374,"I","1"
"342",343,2012,"BU-SAIHAN","BUURIIN ADAG5","BU-Saihan / Buuriin adag5","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,1,0,15.75,0,0,30.5,0.75,0.75,0,0,0,13,0,4.5,13.5,0,0,0,0,1,0,0,0,0,0,0,0,3.75,78.75,12,14,"Bulgan-Saihan",1,321.4075623,"III","2"
"343",344,2012,"BU-SAIHAN","HUNT6","BU-Saihan / Hunt6","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,1.75,0,0,30.75,0,0,0,0,0,6.25,7,5,14,0,0,0,0,0,0,0,0,0,0,0,0,1.75,64.5,32.75,12,"Bulgan-Saihan",1,555.6129761,"III","2"
"344",345,2012,"BU-SAIHAN","OVOOT1","BU-Saihan / Ovoot1","II","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,17,0,0,24,5,5,0,0,0,8.5,0.75,3.25,9.5,0,0,0,0,1,0,0,0,0,0,0,0,2.25,68.25,18.75,12,"Bulgan-Saihan",1,372.4087219,"III","2"
"345",346,2012,"BU-SAIHAN","TSOHION DURULJ3","BU-Saihan / Tsohion durulj3","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,1.5,0.75,0,1,0,29.25,0.25,0.25,0,0.5,0,16,6.75,13.5,30.75,0,0,0,0,0,0,0,1,0,0,0,0,1.25,87.5,0.5,26,"Bulgan-Saihan",1,816.4191284,"I","1"
"346",347,2012,"BU-SAIHAN","UGALZIIN UVUR2","BU-Saihan / Ugalziin uvur2","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.25,0.25,11.5,0.25,0,22.75,14.5,14.5,0,0,0,4.5,1.25,3.75,15.75,0,0,0,0,0,0,0,0,0,0,0,0,4.25,72.5,21.5,12,"Bulgan-Saihan",1,376.0087891,"III","2"
"347",348,2012,"BU-SAIHAN","UNDRAH4","BU-Saihan / Undrah4","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,17.25,0,0,27,0,0,0,0,0,10.5,5,6,9,0,0,0,0,1,0,0,0,0,0,0,0,1,74.5,20.5,11,"Bulgan-Saihan",1,319.8074951,"III","2"
"348",349,2012,"BU-SELENGE","BUUN BURGAS1","BU-Selenge / Buun burgas1","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,20,5.5,2.5,5.5,0,0,7,7,0,0,0,8.25,59.75,0,15.75,0,0,0,0,0,0,0,0,0,0.75,0,0,8.25,88.5,7.75,11,"Bulgan-Selenge",1,439.4102783,"I","1"
"349",350,2012,"BU-SELENGE","HARAAGIIN AR5","BU-Selenge / Haraagiin Ar5","I","High water table",4,1,1.1,1,"Yes","Carex-Grass-forbs rangeland in High water table ESG, FS",0,1.25,6.75,0,10.5,0,1.25,28,28,1.5,0,0,49.75,23.5,0,0,0,0,14.75,0,0,7.25,0,15,0,0,10.25,0,0,99.75,NA,27,"Bulgan-Selenge",1,891.8208618,"II","2"
"350",351,2012,"BU-SELENGE","HULSTAI4","BU-Selenge / Hulstai4","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,9.25,8.25,3.75,10.75,0,11.5,7.5,7.5,2.5,5.75,0,19.25,27.75,0,13.75,0,0,0,0,0,11.75,0,1,1.25,2.25,17.25,0,0,96.25,3.75,32,"Bulgan-Selenge",1,647.2151489,"III","2"
"351",352,2012,"BU-SELENGE","ZUUN BAYNGOL3","BU-Selenge / Zuun bayngol3","I","High water table",4,1,1.1,1,"Yes","Carex-Grass-forbs rangeland in High water table ESG, FS",0,21,0.25,0,0.25,0,0,27.75,27.75,21.25,0,0,89.5,28,0,0,0,0,8.5,10.25,0,0,0,0,0,0,0,0,0,100,NA,23,"Bulgan-Selenge",1,922.4215698,"I","1"
"352",353,2012,"BU-TESHIG","ALTAN UUL4","BU-Teshig / Altan uul4","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,13.25,0,0,0,39.25,39.25,14.75,0,0,73,29.5,0,17,0,0,0,0,0,0,0,20.75,0,0,55.25,0,0,100,NA,14,"Bulgan-Teshig",1,1623.638062,"III","2"
"353",354,2012,"BU-TESHIG","EREN TAVT3","BU-Teshig / Eren tavt3","I","High water table",5,1,1.1,1,"Yes","Grass - forbs mountain meadow rangeland in High water table ESG, FS",0,0,0,19,0,0,0,0,0,0,0,0,45.75,60.75,0,21.5,0,0,0,0,0,0,0,11,0,32.25,43.75,31,0,95.75,2,10,"Bulgan-Teshig",1,512.0119629,"I","1"
"354",355,2012,"BU-TESHIG","KLONKO1","BU-Teshig / Klonko1","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,26.75,0,0,51.25,0,0,0,0,0,45.5,42.75,0,4.25,0,0,0,0,0,0,0,1.25,0,4.25,0,45,0,89.5,8.5,9,"Bulgan-Teshig",1,139.2032776,"III","2"
"355",356,2012,"BU-TESHIG","TUMRUN5","BU-Teshig / Tumrun5","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,48.75,0,0,14.5,0,0,0,0,0,79,0,0,37.75,0,0,0,0,0,0,0,0,0,0,57.25,72.25,0,100,NA,12,"Bulgan-Teshig",1,524.8122559,"I","1"
"356",357,2012,"BU-TESHIG","ULAAN BULAG2","BU-Teshig / Ulaan bulag2","I","High water table",4,1,1.1,1,"Yes","Carex-Grass-forbs rangeland in High water table ESG, FS",0,0,0,0,0,0,0,0,0,23.5,0,0,98.75,49,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,100,NA,12,"Bulgan-Teshig",1,1039.624268,"I","1"
"357",358,2012,"DA-DARHAN","TUMURTOLGOI","DA-Darhan / Tumurtolgoi","III","Deep Sandy",9,2,2.2,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,0,24.25,1.5,24.25,0,57,0,0,0,0,0,7.75,2.5,0,0,0,0,0,19,NA,2,0,0,0,0,0,7.75,0,87,11.5,11,"Darhan-Darhan",1,1099.225708,"I","1"
"358",359,2012,"DA-HONGOR","HAR BELCHIRIIN AM","DA-Hongor / Har belchiriin am","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0.5,0,0,76,0,0,0,0,0,29.5,7.5,0,0,0,0,0,10.25,0,0,0,0,0,0,0,25.75,4.75,91,7,9,"Darhan-Hongor",1,973.0227661,"III","2"
"359",360,2012,"DA-HONGOR","SALHIT","DA-Hongor / Salhit","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,0,0.5,0,27.25,0,0,0,0,0,0.75,2.5,0,0,0,0,0,72.5,0,0.25,0,0,0,0,0,0.75,0,89.75,6.5,11,"Darhan-Hongor",1,928.2216797,"I","1"
"360",361,2012,"DA-HONGOR","TSOGT-ONDOR","DA-Hongor / Tsogt-Ondor","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0.25,0,0,22,0,0,0,36.75,0,26.5,54,0,5,0,0,0,0,0,0,0,0,0,0,10.5,5.75,0,92.75,0.75,17,"Darhan-Hongor",1,1565.436646,"III","2"
"361",362,2012,"DA-ORHON","DARDAI NUUR","DA-Orhon / Dardai nuur","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0.5,0,0,5.25,0,0,0,0,0,38.5,27.25,8.25,0,0,0,0,21.5,0,0,0,0.25,0,0,0,33.25,0,75.25,19.5,18,"Darhan-Orhon",1,867.4202881,"I","1"
"362",363,2012,"DA-ORHON","DELGER UUL","DA-Orhon / Delger uul","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,11.75,0,0,21.5,0,0,0,0,0,18.5,29,0,0,0,0,0,27.5,0,0,0,0,0,0,0,18.5,0,77.5,15,10,"Darhan-Orhon",1,520.6121826,"I","1"
"363",364,2012,"DA-SHARIIN GOL","BUYANT","DA-Shariin gol / Buyant","II","Loamy",3,2,2.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0.75,0,0.75,0,0.75,0,0,0,1.25,0,17.75,21,0,28,0,0,0,0,0,35,0,1.25,0,0,12.75,8,3.25,83.25,16,16,"Darhan-Shariin gol",1,842.4197388,"I","1"
