,YEAR,SITEID,PLOTID,SITE.PLOT,RC_INTERP,ESG,STM,STATE_INTERP,PHASE_INTERP,REFERENCENUM,REFERENCE,ESGEN,ACHNA,ANNUAL,ARAD,ARFRI,BARTEM,CLEIST,CXDU,LEYM,ELCHN,MEADPF,MEADPG,NISB,PPFF,PPGG,SMBPG,STBA,STGBGL,STGR,STIPA,STKR,SRC,GOOD ARTEMISIA,HIMTNMEADOWSPP,OTHER ALLIUM,SHRUB,SUB-SHRUB,CXPED,POTAC,POTBI,PCT.FOLIAR.COVER,PCT.BARE.SOIL,SPECIES.COUNT,SITENAME,LINEID,TOTALWTHECTARE
731,2012,HO-BULGAN,BAITAG,HO-Bulgan / Baitag,I,Loamy,15,1,1.1,1,Yes,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,25.75,0,0,0,0,0,0,0,0,0,NA,NA,NA,34.5,32.5,5,Hovd-Bulgan,1,38.60090637
732,2012,HO-BULGAN,BAYAN GOL,HO-Bulgan / Bayan gol,II,Loamy,15,1,1.2,2,No,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,8.5,0,0,0,0,0,0,0.5,0,0,NA,NA,NA,22.75,43.25,6,Hovd-Bulgan,1,22.00051308
733,2012,HO-BULGAN,HASHAALAAGUI TALBAI,HO-Bulgan / Hashaalaagui talbai,II,Loamy,15,1,1.2,2,No,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0.25,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,4.75,0,0,0,0,0,0,0.25,0,0,NA,NA,NA,11.25,64.5,6,Hovd-Bulgan,1,32.40076065
734,2012,HO-BULGAN,ONGOG,HO-Bulgan / Ongog,II,Loamy,15,1,1.2,2,No,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,NA,NA,NA,35.75,48.5,4,Hovd-Bulgan,1,27.60064507
735,2012,HO-BULGAN,UUSHIG,HO-Bulgan / Uushig,II,Loamy,15,1,1.2,2,No,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,2.25,0,0,0,0,0,0,0,3.5,0,NA,NA,NA,29.25,58.5,6,Hovd-Bulgan,1,31.20073128
736,2012,HO-CHANDMANI,ALAG TOLGOI,HO-Chandmani / Alag tolgoi,I,Gravelly,11,1,1.1,1,Yes,"STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,0.25,NA,0.75,0,0,NA,NA,NA,0,0,NA,0,9,0,0,0,0,0,26.75,0,0,0,0,0,0,NA,NA,NA,36.75,45.75,6,Hovd-Chandmani,1,79.40185547
737,2012,HO-CHANDMANI,EMGEN,HO-Chandmani / Emgen,ii,sandy loam,12,2,2.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,0,NA,6,0,0.5,NA,NA,NA,0,0,NA,0,19,0,0,0,0,0,14.75,0,0,0,0.5,0,0,NA,NA,NA,40.75,37.5,6,Hovd-Chandmani,1,136.6032104
738,2012,HO-CHANDMANI,GOLIIN ADAG,HO-Chandmani / Goliin adag,II,Loamy,15,1,1.2,2,No,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0,0,3.75,0,0,0,0,0,0,0,0,5.5,5.25,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,5.5,23.75,63,8,Hovd-Chandmani,1,44.00102615
739,2012,HO-CHANDMANI,HASHAALAAGUI TALBAI,HO-Chandmani / hashaalaagui talbai,I,Gravelly,11,1,1.1,1,Yes,"STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,0.75,NA,0,0,0,NA,NA,NA,0,0,NA,0,12.25,0,0,0,0,0,11.75,0,0,0,0,0,0,NA,NA,NA,26,61.25,4,Hovd-Chandmani,1,65.4015274
740,2012,HO-CHANDMANI,SHAND,HO-Chandmani / Shand,III,Gravelly,11,2,2.2,2,No,"STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,1.25,NA,0.25,0,0,NA,NA,NA,0,0,NA,0,3.75,0,0,0,0,0,20.75,0,0,0,1,0,0,NA,NA,NA,35,51.5,8,Hovd-Chandmani,1,245.2057343
741,2012,HO-CHANDMANI,ZAH,HO-Chandmani / Zah,III,Gravelly,11,2,2.2,2,No,"STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,1.5,NA,1.75,0,0,NA,NA,NA,0,0,NA,0,5,0,0,0,0,0,8,0,0,0,0,0,0,NA,NA,NA,16.75,65,5,Hovd-Chandmani,1,43.80102539
742,2012,HO-DARVI,BAZARIIN BULAG,HO-Darvi / Bazariin bulag,I,Gravelly,24,1,1.1,1,Yes,"Cryophyte cushion forb-small bunch grass rangeland in Gravelly hills, High mountain",0,0,0,0,0,0,5.25,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,71,14.5,0,82.25,11,6,Hovd-Darvi,1,55.40129471
743,2012,HO-DARVI,HASHAALAAGUI TALBAI,HO-Darvi / Hashaalaagui talbai,II,Sandy ,16,2,2.1,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,2.75,NA,5.25,0,0.75,NA,NA,NA,0,0,NA,0,18.5,0,0,2.25,0,0,0,0,0,0,0,0,0,NA,NA,NA,42.25,31.5,8,Hovd-Darvi,1,101.2023697
744,2012,HO-DARVI,NARAN HAR AR BOGS,HO-Darvi / Naran har ar bogs,I,sandy loam,12,1,1.1,1,Yes,"STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,1,3.25,0,3.25,0.25,0,0,0,0,0,0,0,12,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,41.25,36.25,8,Hovd-Darvi,1,69.60163879
745,2012,HO-DARVI,NARANGIIN NURUU,HO-Darvi / Narangiin nuruu,I,sandy loam,12,1,1.1,1,Yes,"STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,3.75,0,15.5,0,0.25,0,0,0,0,0,0,6.25,23.5,0,0,0,0,0,25.75,0,1,0,0,0,0,1.75,0,0,66.5,2,13,Hovd-Darvi,1,261.2061157
746,2012,HO-DARVI,SHINE USNI DEN,HO-Darvi / Shine usni den,I,Gravelly,11,1,1.2,2,No,"STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,0.25,NA,0,0,0,NA,NA,NA,0,0,NA,1.75,7,0,0,17.75,0,0,0,0,0,0,0,0,0,NA,NA,NA,65.5,18.75,10,Hovd-Darvi,1,358.2084045
747,2012,HO-DURGUN,ARAVJ UUL,HO-Durgun / Aravj uul,II,Loamy,15,1,1.2,2,No,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,5.25,NA,2,0,0,NA,NA,NA,0,0,NA,2.5,1.25,0,0,7.75,0,0,0,1,0,0,4,0,0,NA,NA,NA,24.25,57.25,11,Hovd-Durgun,1,82.00192261
748,2012,HO-DURGUN,BALTSARHAI,HO-Durgun / Baltsarhai,I,Sandy ,16,1,1.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,3.75,NA,0.25,0,0,NA,NA,NA,0,0,NA,0.5,0.25,0,0,2,0,0,0,2,0.5,0,1.75,0,0,NA,NA,NA,17.25,67.5,12,Hovd-Durgun,1,70.60165405
749,2012,HO-DURGUN,HASHAALAAGUI TALBAI,HO-Durgun / Hashaalaagui talbai,I,Loamy,15,1,1.1,1,Yes,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,1.25,NA,0.5,0,0,NA,NA,NA,0,0,NA,0,0,0,0,7.75,0,0,0,2,0.25,0,1,0,0,NA,NA,NA,10.25,80.25,8,Hovd-Durgun,1,21.8005085
750,2012,HO-DURGUN,NUHT,HO-Durgun / Nuht,II,Loamy,15,1,1.2,2,No,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,2.25,NA,7,0,0,NA,NA,NA,0,0,NA,0.25,0.5,0,0,4.25,0,0,0,2,0,0,0,0,0,NA,NA,NA,16,76.5,7,Hovd-Durgun,1,52.00121689
751,2012,HO-DURGUN,SUL HAR,HO-Durgun / Sul har,I,Loamy,15,1,1.1,1,Yes,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,2,NA,1.25,0,0,NA,NA,NA,0,0,NA,0.5,0.5,0,0,2.75,0,0,0,2,0,0,9.5,0,0,NA,NA,NA,16.75,75.25,12,Hovd-Durgun,1,129.4030304
752,2012,HO-DUUT,GYALGARIN AM,HO-Duut / Gyalgarin am,II,Sandy loam,12,2,2.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,0,0,2.25,0,0,20.75,0,0,0,0,0,20.75,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,4.25,45.75,41.75,10,Hovd-Duut,1,95.20222473
753,2012,HO-DUUT,HASHAALAAGUI TALBAI,HO-Duut / Hashaalaagui talbai,I,Gravelly,24,1,1.1,1,Yes,"Cryophyte cushion forb-small bunch grass rangeland in Gravelly hills, High mountain",0,0.75,0,16.25,0,0,24.75,0,0,0,0,0,4.5,2.25,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,44.5,29.5,7,Hovd-Duut,1,63.00147629
754,2012,HO-DUUT,MARTSAD HOID SALAA,HO-Duut / Martsad hoid salaa,I,Gravelly,24,1,1.1,1,Yes,"Cryophyte cushion forb-small bunch grass rangeland in Gravelly hills, High mountain",0,0,0,8,0,0,1.25,0,0,0,0,0,12.5,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,46.25,33.75,10,Hovd-Duut,1,273.0063782
755,2012,HO-DUUT,SHIVERIIN HUTUL,HO-Duut / Shiveriin hutul,II,Gravelly,24,2,1.1,1,Yes,"STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0.5,0,21.5,0,0,7.75,0,0,0,0,0,1,5.75,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,1,35,36.25,7,Hovd-Duut,1,203.0047455
