"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ARAD","ANNUAL","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","GOOD.ARTEMISIA","HIMTNMEADOWSPP","OTHER.ALLIUM","SHRUB","SUB.SHRUB","TREE","CXPED","NISB.1","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","SITENAME","LINEID","TOTALWTHECTARE","RC.Class","state.Class"
"322",322,2014,"BU-HUTAG-UNDUR","DUNDAH3","BU-Hutag-Undur / Dundah3","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,50.5,0,0,39,17.5,17.5,0,0,0,57.25,11.25,25.25,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,30.25,96.5,3.5,13,"Bulgan-Hutag-Undur",1,281.6065674,"III","2"
"323",323,2014,"BU-HUTAG-UNDUR","HUTAG-UNDUR1","BU-Hutag-Undur / Hutag-Undur1","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,43.25,0,0,14.25,1.5,1.5,0,0,0,40.5,21.25,9.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,39,95.25,4.5,10,"Bulgan-Hutag-Undur",1,271.6063232,"III","2"
"324",324,2014,"BU-HUTAG-UNDUR","OROOH6","BU-Hutag-Undur / Orooh6","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,0,0,0,91,88.5,88.5,25.5,25.75,0,90.5,0,2.5,23.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,100,NA,17,"Bulgan-Hutag-Undur",1,1622.837891,"III","2"
"325",325,2014,"BU-HUTAG-UNDUR","TAHILT4","BU-Hutag-Undur / Tahilt4","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,36.5,0,0,21,28,28,0,0,0,22.25,0,15,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.25,0.75,7,"Bulgan-Hutag-Undur",1,457.6107178,"III","2"
"326",326,2014,"BU-HUTAG-UNDUR","TSAGAAN BURGAS2","BU-Hutag-Undur / Tsagaan burgas2","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,53,0,0,56.75,15.75,15.75,0,0,0,67.5,2.25,6.5,18.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.25,99,1,14,"Bulgan-Hutag-Undur",1,551.0128784,"III","2"
"327",327,2014,"BU-HUTAG-UNDUR","ULAAN SHOROOT5","BU-Hutag-Undur / Ulaan shoroot5","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,25.5,0,0,16.5,17,17,0,0,0,67.75,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,19.75,40,94.75,5.25,9,"Bulgan-Hutag-Undur",1,101.6023788,"III","2"
"328",328,2014,"BU-MOGOD","GUDEN3","BU-Mogod / Guden3","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,3,23,0,0,0,0,0,0,0,0,37,6.5,0,18.5,0,0,0,0,0,0,0,0,0,0,0,5.25,0,9.25,1,70.5,23.25,10,"Bulgan-Mogod",1,126.2029572,"I","1"
"329",329,2014,"BU-MOGOD","HUUVRIIN IH SHAND5","BU-Mogod / Huuvriin ih shand5","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,6.75,9.5,0,0,0,0,0,0,0,0,63.75,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,11.25,0,21.75,6.25,79.75,NA,10,"Bulgan-Mogod",1,177.0041504,"III","2"
"330",330,2014,"BU-MOGOD","NOMGON1","BU-Mogod / Nomgon1","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,14.25,0,0,6.5,0,0,0,0,0,22.75,15.75,0,0,0,0,0,5.5,0,0,0,0,0,0,0,6.25,0,0,0,62.5,30.5,11,"Bulgan-Mogod",1,349.6081848,"I","1"
"331",331,2014,"BU-MOGOD","TSOHIONI AR2","BU-Mogod / Tsohioni ar2","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,15,31.75,0,0,1.75,0,0,0,0,0,54,12.5,0,12.25,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,10,88,7.5,12,"Bulgan-Mogod",1,177.8041687,"III","2"
"332",332,2014,"BU-MOGOD","UVUR BULAG4","BU-Mogod / Uvur bulag4","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,3,2.5,13.75,3,0,12.5,0,0,0,0,0,36.5,13.25,0,8.25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,77.5,15.25,14,"Bulgan-Mogod",1,161.4037628,"III","2"
"333",333,2014,"BU-ORHON","60-N JIL1","BU-Orhon / 60-n jil1","I","Gravelly",1,1,1.2,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,1.75,0,29.5,3.75,0,17.75,2,2,0,0,0,17.25,19.5,0,0,0,0,0,11.5,0,0,0,0,0,0.25,0,0,0,0.75,0,76.75,17.5,15,"Bulgan-Orhon",1,100.0023422,"I","1"
"334",334,2014,"BU-ORHON","HALIUN4","BU-Orhon / Haliun4","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,8,11.5,0,39.75,0.75,0.75,0,0,0,55.5,8.75,18.75,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0.75,96,4,21,"Bulgan-Orhon",1,683.4160156,"III","2"
"335",335,2014,"BU-ORHON","MEEJ5","BU-Orhon / Meej5","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,6.25,6.5,0,0,29,0.5,0.5,0,0,0,47.25,12.75,0.5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,40.25,4.5,86,14,13,"Bulgan-Orhon",1,48.60113907,"I","1"
"336",336,2014,"BU-ORHON","SEER3","BU-Orhon / Seer3","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,1,0,9,1,0,42.25,2.25,2.25,0,0,0,27,5.75,4.5,32.25,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,85,8.5,20,"Bulgan-Orhon",1,240.2056274,"I","1"
"337",337,2014,"BU-ORHON","SHUVUUT2","BU-Orhon / Shuvuut2","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.25,0,1.25,0.25,0,35.5,0.75,0.75,0,0,0,61,7,0,24,0,0,0,0,0,0,0,0,1.75,0,0,0,0,59.75,0,84.75,3,12,"Bulgan-Orhon",1,78.201828,"III","2"
"338",338,2014,"BU-RASHAANT","AVGAL UUL4","BU-Rashaant / Avgal uul4","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,15.5,0,17.75,15.5,0,14,0,0,0,0,0,0,4.5,0,0,0,0,0,46.5,1,0,0,1.25,1,0,0,0,0,0,0,78.5,4.75,9,"Bulgan-Rashaant",1,259.8060608,"I","1"
"339",339,2014,"BU-RASHAANT","ERCHIMIIN AR1","BU-Rashaant / Erchimiin ar1","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,1.75,0,0,26.75,13,13,0,0,0,0,2.25,0,0,0,0,0,44,2,0,0,0,0.75,0,0,0,0,0,0,77.5,14.25,7,"Bulgan-Rashaant",1,183.2042847,"I","1"
"340",340,2014,"BU-RASHAANT","TAVAN TSOHIO2","BU-Rashaant / Tavan tsohio2","III","Sandy loam",8,2,2.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,12.25,0,0,9.75,0,0,0,0,0,34,2.75,0,0,0,0,0,4,NA,0,0,0.25,0,0,0,0,0,34,0,60.75,38.75,7,"Bulgan-Rashaant",1,29.20068359,"IV","4"
"341",341,2014,"BU-RASHAANT","TEEG TOLGOI3","BU-Rashaant / Teeg tolgoi3","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,5.5,0,0,7.25,34.5,34.5,0,0,0,0,6.5,0,0,0,0,0,63.5,2,0,0,0.25,0,0,0,0,0,0,0,87,5.75,7,"Bulgan-Rashaant",1,120.8028259,"I","1"
"342",342,2014,"BU-SAIHAN","BUURIIN ADAG5","BU-Saihan / Buuriin adag5","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0.25,6.75,0,0,33.5,2.25,2.25,0,0,0,12,5.75,9.75,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,5,72,17.75,16,"Bulgan-Saihan",1,298.8069763,"III","2"
"343",343,2014,"BU-SAIHAN","HUNT6","BU-Saihan / Hunt6","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,12.75,0.25,0,29.5,2.25,2.25,0,0,0,11.25,6.25,9,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,6.5,74.25,1.75,15,"Bulgan-Saihan",1,336.8078613,"III","2"
"344",344,2014,"BU-SAIHAN","OVOOT1","BU-Saihan / Ovoot1","II","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,2.75,7.75,0.5,0,40.25,5,5,0,0,0,13,4.5,2.75,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,76.25,20,14,"Bulgan-Saihan",1,290.0068054,"III","2"
"345",345,2014,"BU-SAIHAN","TSOHION DURULJ3","BU-Saihan / Tsohion durulj3","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,2,9,2.25,0,49,17,17,0,0,0,19,22,13.25,25.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,95.25,4.5,27,"Bulgan-Saihan",1,992.8231812,"III","2"
"346",346,2014,"BU-SAIHAN","UGALZIIN UVUR2","BU-Saihan / Ugalziin uvur2","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,4.5,1,0,24.75,5.75,5.75,0,0,0,18.5,5.75,6.25,4.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,7.75,72.25,27,20,"Bulgan-Saihan",1,249.8058319,"III","2"
"347",347,2014,"BU-SAIHAN","UNDRAH4","BU-Saihan / Undrah4","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,2,11,0.75,0,29.5,2.5,2.5,0,0,0,11,7.75,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,73.5,5.5,17,"Bulgan-Saihan",1,322.0075378,"III","2"
"348",348,2014,"BU-SELENGE","BUUN BURGAS1","BU-Selenge / Buun burgas1","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,4.25,5.25,0,0,16.25,0.25,0.25,0,0,0,0,66,0,3.75,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,82.5,15.75,10,"Bulgan-Selenge",1,209.204895,"III","2"
"349",349,2014,"BU-SELENGE","HARAAGIIN AR5","BU-Selenge / Haraagiin Ar5","I","High water table",4,1,1.1,1,"Yes","Carex-Grass-forbs rangeland in High water table ESG, FS",0,1,16.75,1.25,1,0,4.75,30.75,30.75,4.75,0,0,57.75,13.25,0,0,0,0,9.5,0,0,5.75,0,6.25,0,0,0,1.5,0,0,0,95.25,4.75,32,"Bulgan-Selenge",1,1479.43457,"II","2"
"350",350,2014,"BU-SELENGE","HULSTAI4","BU-Selenge / Hulstai4","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,39.25,0,0,60.75,0,0,0,0,0,35.25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.25,0,93,6,5,"Bulgan-Selenge",1,151.8035583,"III","2"
"351",351,2014,"BU-SELENGE","ZUUN BAYNGOL3","BU-Selenge / Zuun bayngol3","I","High water table",4,1,1.1,1,"Yes","Carex-Grass-forbs rangeland in High water table ESG, FS",0,6,10,0.5,6,0,16,28.75,28.75,3.5,0,0,59,21,0,0,0,0,11.25,0,0,3,0,0,2,0,0,0,0,0,0,96.75,3.25,31,"Bulgan-Selenge",1,1534.435791,"II","2"
"352",352,2014,"BU-TESHIG","ALTAN UUL4","BU-Teshig / Altan uul4","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,8.75,16.5,0,0,16.75,16.75,16.75,20.25,0,0,94.5,36,0,32,0,0,0,0,0,0,0,10,0,0,0,16.75,0,0,9.75,100,NA,26,"Bulgan-Teshig",1,2014.447144,"I","1"
"353",353,2014,"BU-TESHIG","EREN TAVT3","BU-Teshig / Eren tavt3","I","High water table",5,1,1.1,1,"Yes","Grass - forbs mountain meadow rangeland in High water table ESG, FS",0,0,0,32.25,0,0,4.5,0,0,6.5,0,0,54,50.5,0,18.5,0,0,0,0,0,0,0,12.5,0,28.75,0,42,0,46.5,0,97.75,2.25,13,"Bulgan-Teshig",1,500.2117004,"I","1"
"354",354,2014,"BU-TESHIG","KLONKO1","BU-Teshig / Klonko1","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,6.5,21.75,0,0,23.5,0,0,0,0,0,56.5,32.75,0,5.75,0,0,0,0,0,0,0,8,0,0,0,0,0,34.75,0,94.25,5.75,12,"Bulgan-Teshig",1,676.468689,"III","2"
"355",355,2014,"BU-TESHIG","TUMRUN5","BU-Teshig / Tumrun5","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,22,0,0,0,0,0,24,0,0,97,42,11.75,36.5,0,0,0,0,0,0,0,0,0,0,0,58.75,0,53,29,100,NA,16,"Bulgan-Teshig",1,1746.240967,"I","1"
"356",356,2014,"BU-TESHIG","ULAAN BULAG2","BU-Teshig / Ulaan bulag2","I","High water table",4,1,1.1,1,"Yes","Carex-Grass-forbs rangeland in High water table ESG, FS",0,0,0,0,0,0,0,0,0,29,0,0,100,14.5,15.75,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,100,NA,13,"Bulgan-Teshig",1,1979.046509,"I","1"
"357",357,2014,"DA-DARHAN","TUMURTOLGOI","DA-Darhan / Tumurtolgoi","III","Deep Sandy",9,2,2.2,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,9,0,0.875,8.875,0,42.25,0,0,0,0,0,2.375,0.75,0,0,0,0,0,0.125,0,0,0,1.125,0,0,0,0,0,2.25,0,63.625,13.5,12,"Darhan-Darhan",1,91.40213776,"IV","4"
"358",358,2014,"DA-DARHAN","TUMURTOLGOI","DA-Darhan / Tumurtolgoi","III","Deep Sandy",9,2,2.2,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,9,0,0.875,8.875,0,42.25,0,0,0,0,0,2.375,0.75,0,0,0,0,0,0.125,0,0,0,1.125,0,0,0,0,0,2.25,0,63.625,13.5,12,"Darhan-Darhan",1,35.40082932,"IV","4"
"359",359,2014,"DA-HONGOR","HAR BELCHIRIIN AM","DA-Hongor / Har belchiriin am","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0.25,0,0,67.25,0,0,0,0,0,22.625,4.375,0,0,0,0,0,3.125,0,0,0,0.125,0,0,0,0,0,15.625,11,85.625,3.5,12,"Darhan-Hongor",1,345.4081116,"III","2"
