"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ARAD","ANNUAL","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","GOOD.ARTEMISIA","HIMTNMEADOWSPP","OTHER.ALLIUM","SHRUB","SUB.SHRUB","TREE","CXPED","NISB.1","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","SITENAME","LINEID","TOTALWTHECTARE","RC.Class","state.Class"
"790",798,2014,"HO-MYANGAD","CHARGAT BEL","HO-Myangad / Chargat bel","I","sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,NA,0,2.75,0,0,NA,NA,NA,0,0,NA,0,1.25,0,0,29.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,32.75,64.5,4,"Hovd-Myangad",1,62.00144958,"I","1"
"791",799,2014,"HO-MYANGAD","HASHAALAAGUI TALBAI","HO-Myangad / Hashaalaagui talbai","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,5.25,0,0,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,15.25,81.75,4,"Hovd-Myangad",1,84.60197449,"II","2"
"792",800,2014,"HO-MYANGAD","MORITIN BEL","HO-Myangad / Moritin bel","I","Sandy ",16,1,1.1,1,"Yes","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,1,2.75,0,0,20.25,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,25.75,65.25,7,"Hovd-Myangad",1,56.00131607,"I","1"
"793",801,2014,"HO-MYANGAD","SAIN ULZII","HO-Myangad / Sain ulzii","I","sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,0,0,2.25,0,0,0,0,0,0,0,0,2.25,0,0,0,13,0,0,13.25,0,0,0,0,0,0,0,0,0,1.5,0,29.75,48.25,6,"Hovd-Myangad",1,54.00126266,"I","1"
"794",802,2014,"HO-TSETSEG","BAYAN GOL","HO-Tsetseg / Bayan gol","II","Gravelly",14,2,2.1,2,"No","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly ills ESG, Desert steppe",0,0,0,4.75,0,15.75,0,0,0,0,0,0,1.25,0,0.25,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.75,30,53.75,8,"Hovd-Tsetseg",1,60.80142212,"IV","3"
"795",803,2014,"HO-TSETSEG","HASHAALAAGUI TALBAI","HO-Tsetseg / Hashaalaagui talbai","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,22.75,57.5,4,"Hovd-Tsetseg",1,65.80154419,"I","1"
"796",804,2014,"HO-TSETSEG","HUREN","HO-Tsetseg / Huren","I","sandy loam",12,1,1.2,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,NA,0,7.75,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,NA,NA,NA,NA,56.75,34,3,"Hovd-Tsetseg",1,151.6035309,"I","1"
"797",805,2014,"HO-TSETSEG","OLON HUDAG","HO-Tsetseg / Olon hudag","III","Gravelly",11,2,2.2,2,"No","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,1.25,0,0,1.25,17,0,0,0,0,0,0,1,6.25,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.75,57.75,6,"Hovd-Tsetseg",1,52.00121689,"I","1"
"798",806,2014,"HO-TSETSEG","ZAISAN","HO-Tsetseg / Zaisan","III","Gravelly",11,2,2.2,2,"No","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,0,0,3,0,1.25,0,0,0,0,0,0,10.25,0,0,0,1,0,0,0,0,4.75,0,0,0,0,0,0,0,0,10.25,25.5,52,7,"Hovd-Tsetseg",1,94.40219879,"IV","3"
"799",807,2014,"HO-UENCH","HAR UZUUR","HO-Uench / Har uzuur","III","Gravelly",14,2,2.2,2,"No","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly ills ESG, Desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,4,22,4,"Hovd-Uench",1,63.00147247,"IV","3"
"800",808,2014,"HO-UENCH","HASHAALAAGUI TALBAI","HO-Uench / Hashaalaagui talbai","III","Gravelly",14,2,2.2,2,"No","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly ills ESG, Desert steppe",0,NA,1.25,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,3.5,0,0,0,0,0.75,0,0,0,0,0,NA,NA,NA,NA,8.5,31.75,6,"Hovd-Uench",1,46.60108948,"III","2"
"801",809,2014,"HO-UENCH","SUURGA","HO-Uench / Suurga","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly ills ESG, Desert steppe",0,0.75,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,2,0,0.75,0,0,0,0,0,0,0,22.5,38.25,8,"Hovd-Uench",1,110.0025711,"I","1"
"802",810,2014,"HO-UENCH","TSAGAAN TUNGE","HO-Uench / Tsagaan tunge","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,55.25,2,"Hovd-Uench",1,62.6014595,"II","2"
"803",811,2014,"HO-UENCH","URID HUVCH","HO-Uench / Urid huvch","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly ills ESG, Desert steppe",0,NA,0.25,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,18.5,0,0,0,0,1.75,0,0,0,0,0,NA,NA,NA,NA,20.75,36,5,"Hovd-Uench",1,68.4016037,"I","1"
"804",812,2014,"HO-ZEREG","BANDIIN HUDAG","HO-Zereg / Bandiin hudag","I","Sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,1.75,0,0,15.25,0,0,11.75,2,0,0,14.75,0,0,0,NA,NA,NA,NA,37.5,43.75,6,"Hovd-Zereg",1,179.2041931,"I","1"
"805",813,2014,"HO-ZEREG","HADIN EROOL","HO-Zereg / Hadin erool","I","Gravelly",11,1,1.1,1,"Yes","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,18.75,0,0,18.75,0,0,3.25,2,0,0,6,0,0,0,NA,NA,NA,NA,37.25,53.5,5,"Hovd-Zereg",1,157.2036743,"I","1"
"806",814,2014,"HO-ZEREG","HASHAALAAGUI TALBAI","HO-Zereg / Hashaalaagui talbai","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,2,NA,NA,NA,0,0,NA,3.25,0.75,0,0,4.5,0,0,0,1,0,0,4.75,0,0,0,NA,NA,NA,NA,38,10.75,7,"Hovd-Zereg",1,139.4032593,"II","2"
"807",815,2014,"HO-ZEREG","HUH DUGUIN HUDAG","HO-Zereg / Huh duguin hudag","III","Gravelly",11,2,2.2,2,"No","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,NA,0,0,0,5,NA,NA,NA,0,0,NA,6,0,0,0,9.25,0,0,6.75,2,0,0,0,0,0,0,NA,NA,NA,NA,23.5,25.5,5,"Hovd-Zereg",1,164.2038574,"IV","3"
"808",816,2014,"HO-ZEREG","MUHARDAV","HO-Zereg / Muhardav","I","Gravelly",11,1,1.1,1,"Yes","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,5.25,0,0,0,0,0,25.25,2,0,0,0,0,0,0,NA,NA,NA,NA,29,53,3,"Hovd-Zereg",1,160.2037506,"I","1"
"809",817,2014,"HO-ZEREG","NUTSGEN","HO-Zereg / Nutsgen","I","High water table",13,1,1.1,1,"Yes","ACSP/SCHI dominated solonchak in HWT ESG, Semidesert steppe",0,6.5,0,0,6.5,0,0,0,0,0,0,0,45.5,68.75,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,94.75,4.25,7,"Hovd-Zereg",1,706.2165527,"I","1"
"810",818,2014,"HO -JARGALANT/ HASHAALAAGUI TALBAI",NA,"HO -Jargalant/ Hashaalaagui talbai","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly ills ESG, Desert steppe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"811",819,2014,"HU-ALAG-ERDENE","DAIH","HU-Alag-Erdene / Daih","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,4.333333333,0,0,0,0,0,0,0.666666667,0,0,28.33333333,2.333333333,6.833333333,8,0,0,0,0,0,0,0,0,0,0,0,30.5,0,0,0,96.16666667,3.833333333,21,"Huvsgul-Alag-Erdene",1,594.4138794,"III","2"
"812",820,2014,"HU-ALAG-ERDENE","ERHEL","HU-Alag-Erdene / Erhel","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,3.5,0,0,0,0,0,0,2,0.75,0,29.25,10.25,14.75,45,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,92.5,7.5,20,"Huvsgul-Alag-Erdene",1,447.010437,"I","1"
"813",821,2014,"HU-ALAG-ERDENE","HAMRIIN AM","HU-Alag-Erdene / Hamriin am","I","High water table",5,1,1.1,1,"Yes","Grass - forbs mountain meadow rangeland in High water table ESG, FS",0,0,8.75,0,0,0,0,0,0,6.5,1.5,0,62.5,11.75,11,43.75,0,0,0,0,0,0.5,0,0,0,0,0,5.25,0,0,0.25,97.5,2.5,31,"Huvsgul-Alag-Erdene",1,718.0168457,"I","1"
"814",822,2014,"HU-ALAG-ERDENE","HONDLON","HU-Alag-Erdene / Hondlon","II","Gravelly",1,2,2.1,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,0,1.5,3.5,0,0,0,0,0,0,0,0,21.75,0,8.75,0,0,0,0,5.5,0,0,0,0,0,0,0,4.5,0,0,0,88.75,3.25,18,"Huvsgul-Alag-Erdene",1,378.408844,"III","2"
"815",823,2014,"HU-ALAG-ERDENE","MANHAN","HU-Alag-Erdene / Manhan","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0.75,3.25,4.75,0.75,0,0,0,0,3,0,0,40.25,10,7,41,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,1,95.25,4.75,21,"Huvsgul-Alag-Erdene",1,368.8085938,"I","1"
"816",824,2014,"HU-ARBULAG","ALT TOLGOI","HU-Arbulag / Alt tolgoi","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,5.75,0,21.25,5.75,0,0,0,0,0,0,0,12.5,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,7,10,"Huvsgul-Arbulag",1,302.6070862,"III","2"
"817",825,2014,"HU-ARBULAG","BAAVGAIN TSAHIR","HU-Arbulag / Baavgain tsahir","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,0,0,0,0,11.5,0,0,0,0,0,32.75,33.25,22.25,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,4.75,10,"Huvsgul-Arbulag",1,729.6171265,"I","1"
"818",826,2014,"HU-ARBULAG","GOL MOD","HU-Arbulag / Gol mod","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,17.25,0,0,17.25,0,0,0,0,0,7,27,23.75,9.75,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,90.5,7.5,10,"Huvsgul-Arbulag",1,353.208252,"III","2"
"819",827,2014,"HU-ARBULAG","HUJIRT","HU-Arbulag / Hujirt","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,0,18.75,0,0,19.5,0,0,0,0,0,24,26,35.25,21.25,0,0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,91,5.5,14,"Huvsgul-Arbulag",1,2010.246948,"I","1"
"820",828,2014,"HU-ARBULAG","SHINE-US","HU-Arbulag / Shine-us","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,15.25,0,0,5.5,0,0,0,0,0,7.25,21.5,26.5,20,0,0,0,0,0,0,10.75,0,0,0,0,0,0,0,5,89.5,7.25,13,"Huvsgul-Arbulag",1,201.804718,"I","1"
"821",829,2014,"HU-ARBULAG","TABIIN AR","HU-Arbulag / Tabiin ar","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,NA,0,20.5,0,0,NA,NA,NA,0,0,NA,17.5,17,45,0,0,0,0,0,0,1.75,0,0,0,0,0,NA,NA,NA,NA,93,6,10,"Huvsgul-Arbulag",1,414.409668,"III","2"
"822",830,2014,"HU-BAYANZURH","HAVCHIG JALGIIN EH","HU-Bayanzurh / Havchig jalgiin eh","I","High water table",5,1,1.1,1,"Yes","Grass - forbs mountain meadow rangeland in High water table ESG, FS",0,0,0,0,11.25,0,0,0,0,0.25,0,0,45.25,18.5,51.75,0,0,0,0,0,0,17.5,0,0,0,2.25,0,0,0,0,1.75,95.25,4.75,22,"Huvsgul-Bayanzurh",1,928.8217773,"I","1"
"823",831,2014,"HU-BAYANZURH","HUJIRTIIN DAVAA","HU-Bayanzurh / Hujirtiin davaa","I","High water table",5,1,1.1,1,"Yes","Grass - forbs mountain meadow rangeland in High water table ESG, FS",0,6.75,0.5,10.75,11.75,0,3.75,0,0,0.25,0,0,49.25,25,48.25,0,0,0,0,0,0,5,0,1.75,0,7.25,0,0,0,0,1,98.5,1.5,28,"Huvsgul-Bayanzurh",1,937.8218994,"I","1"
"824",832,2014,"HU-BAYANZURH","HUULGATIIN BEL","HU-Bayanzurh / Huulgatiin bel","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,1.25,0,0.25,0,26.25,0,0,0,0,0,17.25,15.75,2,0,0,0,0,21.25,0,1.75,0,0,0,18,0,0,0,10.25,0,82.5,17.5,17,"Huvsgul-Bayanzurh",1,290.6068115,"I","1"
"825",833,2014,"HU-BAYANZURH","LOGSHIIN BELCHIR","HU-Bayanzurh / Logshiin belchir","I","High water table",5,1,1.1,1,"Yes","Grass-forbs mountain meadow rangeland in loamy ESG, FS",0,0,0,0,20,0,32.75,0,0,18.25,0,0,9,51,35.5,0,0,0,0,0,0,0,0,0.25,0,5.25,0,0,0,0,0,98.75,1.25,14,"Huvsgul-Bayanzurh",1,1240.029053,"I","1"
"826",834,2014,"HU-BAYANZURH","NARANGIIN BULAN","HU-Bayanzurh / Narangiin bulan","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,0,9.5,3,0,0.5,0,0,0,0,0,37.5,19.5,1.25,68.75,0,0,0,0,0,3.5,0,0,0,0.75,0,0,0,3,0,99.25,0.75,18,"Huvsgul-Bayanzurh",1,453.4105835,"I","1"
"827",835,2014,"HU-BURENTOGTOH","BAYAN-ULAAN","HU-Burentogtoh / Bayan-ulaan","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,7.75,8.75,0,0,0,7,7,0,0,0,26.5,37,7,13.75,0,0,0,0,0,0,0,5.75,0,0,0,21.5,0,1.75,4.75,89.25,10,23,"Huvsgul-Burentogtoh",1,275.4064331,"III","2"
"828",836,2014,"HU-BURENTOGTOH","HAR SAIR","HU-Burentogtoh / Har sair","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,8.5,5.5,4,9,0,0,0,0,0,0,0,19.25,39.75,4.75,21,0,0,0,0,0,1.25,0,26,0,0,0,26.75,0,0,4.75,90.75,8.25,21,"Huvsgul-Burentogtoh",1,556.4130249,"I","1"
"829",837,2014,"HU-BURENTOGTOH","NUURSTII","HU-Burentogtoh / Nuurstii","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,5,8.5,27,8.75,0,0,6.75,6.75,0,0,0,33.75,9.75,3.5,16,0,0,0,0,0,2,0,4.5,0,0,0,49.5,0,2.75,7.25,87.75,12,23,"Huvsgul-Burentogtoh",1,525.6123047,"I","1"
"830",838,2014,"HU-BURENTOGTOH","TSAGAAN SAIG","HU-Burentogtoh / Tsagaan saig","I","High water table",5,1,1.1,1,"Yes","Grass-forbs mountain meadow rangeland in loamy ESG, FS",0,0,5.75,7,0.75,2.5,0,7.75,7.75,2.5,0,0,38,10.75,13,6,0,0,0,0,0,10.5,0,6,0,0,0,39.75,0,0,3,89.5,9.25,26,"Huvsgul-Burentogtoh",1,603.6141357,"I","1"
"831",839,2014,"HU-BURENTOGTOH","ZAGZUUGIIN GOL","HU-Burentogtoh / Zagzuugiin gol","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,6,4.75,9.5,11.25,0,0,3.25,3.25,0,0,0,38.75,31,13.25,12,0,0,0,0,0,0,0,17.75,0,0,0,16.5,0,0,8.25,93.25,6.75,25,"Huvsgul-Burentogtoh",1,628.8146973,"III","2"
"832",840,2014,"HU-CHANDMANI-UNDUR","NARIIN","HU-Chandmani-Undur / Nariin","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,7.5,0,0,12.25,0,0,0,1.75,0,61.25,20.75,0.5,7.5,0,0,0,0,0,0,0,0,0,0,0,15,0,25.5,0,85.25,14.75,19,"Huvsgul-Chandmani-Undur",1,426.0099792,"III","2"
"833",841,2014,"HU-CHANDMANI-UNDUR","SAGDAIN AM","HU-Chandmani-Undur / Sagdain am","II","High water table",4,2,2.1,2,"No","Carex-Grass-forbs rangeland in High water table ESG, FS",0,0,3.25,0,0,0,32.25,0.25,0.25,0,2,0,70.5,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,11.75,0,17.25,0,89,11,17,"Huvsgul-Chandmani-Undur",1,337.0078735,"II","2"
"834",842,2014,"HU-CHANDMANI-UNDUR","TALIIN ZUSLAN","HU-Chandmani-Undur / Taliin zuslan","II","Loamy",3,2,2.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,5,8.75,0,0,11,0,0,0,8.25,0,64.25,27.5,5.5,2.75,0,0,0,0,0,0,0,0,0,0,0,5.25,0,44.75,0,85.5,14.5,18,"Huvsgul-Chandmani-Undur",1,266.6062317,"III","2"
"835",843,2014,"HU-CHANDMANI-UNDUR","TSAGAAN EREG","HU-Chandmani-Undur / Tsagaan ereg","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,6.25,0,0,0,0,0,0,0,0,20.25,36.75,24.75,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0.75,75.25,23.25,15,"Huvsgul-Chandmani-Undur",1,360.0084229,"I","1"
"836",844,2014,"HU-CHANDMANI-UNDUR","ULAAN HOTOL","HU-Chandmani-Undur / Ulaan hotol","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,0,5.5,0,0,1.75,0,0,0,0,0,38.25,35.25,19,20.75,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.25,86.75,13.25,18,"Huvsgul-Chandmani-Undur",1,472.8110962,"I","1"
"837",845,2014,"HU-ERDENEBULGAN","ASAIT BUHT","HU-Erdenebulgan / Asait buht","I","High water table",5,1,1.1,1,"Yes","Grass-forbs mountain meadow rangeland in loamy ESG, FS",0,4.25,0,0,28.5,0,0,0,0,23,7,0,74.75,75.75,6.75,11.75,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,1,100,NA,37,"Huvsgul-Erdenebulgan",1,3808.48877,"I","1"
"838",846,2014,"HU-ERDENEBULGAN","BUURUG","HU-Erdenebulgan / Buurug","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,NA,0,30.75,1.5,0,NA,NA,NA,0,0,NA,8.75,53.75,1.75,14.25,0,0,0,0,0,0,0,0.75,0,0,0,NA,NA,NA,NA,89.75,8,19,"Huvsgul-Erdenebulgan",1,457.2107239,"III","2"
"839",847,2014,"HU-ERDENEBULGAN","TUMSTII","HU-Erdenebulgan / Tumstii","II","Loamy",3,2,2.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,NA,0,23.25,0,0,NA,NA,NA,0,0,NA,16.75,43,5,9,0,0,0,0,0,0,0,0.75,0,0,0,NA,NA,NA,NA,88.5,11.5,13,"Huvsgul-Erdenebulgan",1,427.210022,"III","2"
"840",848,2014,"HU-ERDENEBULGAN","UNDUR GUVEE","HU-Erdenebulgan / Undur guvee","II","Loamy",3,2,2.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,29.25,0,0,0,0,0,0,0,0,57,29,2,3,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,3.25,98.75,0.25,15,"Huvsgul-Erdenebulgan",1,485.6113281,"III","2"
"841",849,2014,"HU-ERDENEBULGAN","URTIIN DAVAA","HU-Erdenebulgan / Urtiin davaa","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,6,0,8.25,12,0,0,0,0,0,0,0,49,53.5,25,11,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0.25,95,5,23,"Huvsgul-Erdenebulgan",1,1454.833984,"III","2"
"842",850,2014,"HU-GALT","AZAR","HU-Galt / Azar","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,1.5,8.25,0,0,51.5,0,0,0,0,0,1.5,2.75,0.25,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.25,70,10.75,11,"Huvsgul-Galt",1,154.4036255,"III","2"
"843",851,2014,"HU-GALT","BICHIGT AR","HU-Galt / Bichigt ar","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0.75,0,0,59.75,0,0,0,0,0,8.25,6.25,0,0,0,0,0,9.25,0,5,0,0,0,0,0,0,0,0,0,79,11.75,11,"Huvsgul-Galt",1,140.0032806,"III","2"
"844",852,2014,"HU-GALT","DARTSAGIIN ENGER","HU-Galt / Dartsagiin enger","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0.5,0,0,12.5,0,0,0,0,0,3.75,9.25,2,0,0,0,0,30.25,1,1.25,0,0,0,0.5,0,0,0,0,0,58.75,37.5,14,"Huvsgul-Galt",1,198.0046234,"I","1"
"845",853,2014,"HU-GALT","HUUSHIIN GUUGIIN AR","HU-Galt / Huushiin guugiin ar","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,4.25,11,0,0,7.75,0,0,0,0,0,2.5,17.25,4.25,0,0,0,0,16.5,2,0,0,0,0,0,0,0,0,0,0.25,58.5,29.5,11,"Huvsgul-Galt",1,169.8039551,"I","1"
"846",854,2014,"HU-GALT","UU JALGA","HU-Galt / Uu jalga","I","Loamy",2,1,1.1,1,"Yes","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,11.75,8,0,0,18.75,0,0,0,0,0,5.5,4.25,0,0,0,0,0,29.75,0,0,0,0,0,0,0,0,0,0,0,69.75,7.5,7,"Huvsgul-Galt",1,174.4040833,"I","1"
"847",855,2014,"HU-HANH","GUMNAGIIN ENGER","HU-Hanh / Gumnagiin enger","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,0,0,8.5,0,41.75,17.75,17.75,11,0,0,56,0.25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,95.5,2.25,14,"Huvsgul-Hanh",1,1194.027832,"III","2"
"848",856,2014,"HU-HANH","HOH TOLGOI","HU-Hanh / Hoh tolgoi","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,0,0.5,0,0,25.5,10.75,10.75,3.5,0,0,52.5,0,8.75,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,95,2.25,15,"Huvsgul-Hanh",1,962.2225342,"III","2"
"849",857,2014,"HU-HANH","JARGALANT","HU-Hanh / Jargalant","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,0,0.5,0,0,33.5,18,18,1.25,0,0,3.75,25.5,21,0,0,0,0,0,0,33,0,1.25,0,0,0,0,0,0,0,98.25,0.25,15,"Huvsgul-Hanh",1,1399.032715,"III","2"
"850",858,2014,"HU-HANH","MAIHAN TOLGOIN AR","HU-Hanh / Maihan tolgoin ar","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,0,0,0,0,45.75,12.5,12.5,0,0,0,20.5,0,29.75,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,84.75,7.5,8,"Huvsgul-Hanh",1,236.2055359,"III","2"
"851",859,2014,"HU-HANH","ONGOLOGIIN HUNDII","HU-Hanh / Ongologiin hundii","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,0,0,0,0,0,23.25,16,16,7,0,0,23.25,0.5,14,0,0,0,0,0,0,11.25,38.5,0,0,0,0,0,0,0,0,91.5,4.5,12,"Huvsgul-Hanh",1,226.405304,"III","2"
"852",860,2014,"HU-HATGAL","ALAGSTAR","HU-Hatgal / Alagstar","I","High water table",5,1,1.1,1,"Yes","Grass-forbs mountain meadow rangeland in loamy ESG, FS",0,0,0,0,0,0,49,2,2,5.5,0.25,0,43.25,0.75,24.75,0,0,0,0,0,0,6.75,0,0,3.75,0,0,0,0,0,0,95,0.25,22,"Huvsgul-Hatgal",1,902.821106,"I","1"
