"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ANNUAL","ARAD","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","DRYLAND.CAREX","GOOD.ARTEMISIA","HALOPHYTIC.SHRUB","HIMTNMEADOWSPP","MEADOW.CAREX","OTHER.ALLIUM","OTHER.CAREX","SHRUB","SUB.SHRUB","TREE","XEROPHYTIC.SHRUB","CXPED","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","TOTALWTHECTARE","RC.Class","state.Class"
"612",612,2015,"GA-TAISHIR","TSAGAAN TOLGOI","GA-Taishir / Tsagaan tolgoi","II","Sandy loam",12,2,2.1,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,NA,0.75,0,0,NA,0,0,0,0,NA,6,0,0,0,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,82.75,9.5,6,99.40232086,"I","1"
"613",613,2015,"GA-TONHIL","BAYAN HUNDIIN AM","GA-Tonhil / Bayan hundiin am","II","Gravelly",11,2,2.1,2,"No","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,0,NA,11,0,0,NA,0,0,0,0,NA,5.5,36.5,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,52.5,2.5,8,85.60199738,"I","1"
"614",614,2015,"GA-TONHIL","DURULJIIN HUTUL","GA-Tonhil / Duruljiin hutul","II","Gravelly",11,2,2.1,2,"No","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,0,NA,0,0,0,NA,0,0,0,0,NA,3.5,36,0,0,12.75,0,0,0,2,0,3.25,0,0,0,0.5,0,0,0,0,0,NA,NA,NA,55.75,NA,9,147.8034515,"I","1"
"615",615,2015,"GA-TONHIL","HUSTIIN AM","GA-Tonhil / Hustiin am","I","Gravelly",7,1,1.1,1,"Yes","STKR-grass-forbs rangeland in Gravelly hills ESG, Steppe",1.5,0,NA,0,0,8.75,NA,0,0,0,0,NA,5.75,0,33.25,0,0,0,0,0,2,0,2.75,0,0,0,0,0,0,0,0,0,NA,NA,NA,51.25,14.25,9,142.0033264,"I","1"
"616",616,2015,"GA-TONHIL","SUUL HAR","GA-Tonhil / Suul har","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,37,0,0,0,2,0,1.25,0,0,0,0,0,0,0,0,10.25,NA,NA,NA,46.5,4.75,4,124.6029205,"I","1"
"617",617,2015,"GA-TONHIL","TSAGAAN HUTUL","GA-Tonhil / Tsagaan hutul","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,0,NA,21.75,0,0,NA,0,0,0,0,NA,2,42.25,0,0,15.25,0,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,NA,NA,NA,66.5,5.75,8,162.2037964,"I","1"
"618",618,2015,"GA-TSEEL","ADUUNCULUUN","GA-Tseel / Aduunculuun","I","Sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,NA,0.25,0,0,NA,0,0,0,0,NA,0,0,0,0,37.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75,NA,NA,NA,42.5,21,5,62.80146408,"I","1"
"619",619,2015,"GA-TSEEL","BOR UZUUR","GA-Tseel / Bor uzuur","II","Sandy loam",12,2,2.1,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.75,NA,NA,NA,30,NA,6,94.20220947,"I","1"
"620",620,2015,"GA-TSEEL","DENJ","GA-Tseel / Denj","I","Sandy loam ",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.75,NA,NA,NA,35.25,0.75,6,129.8030396,"I","1"
"621",621,2015,"GA-TSEEL","HOTGOR SHAR","GA-Tseel / Hotgor shar","II","Sandy loam",12,2,2.1,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,11.25,0,0,0,1,0,0,1.25,0,0,0,0,0,0,0,5.5,NA,NA,NA,17.5,3,5,38.40090179,"II","2"
