"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ANNUAL","ARAD","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","DRYLAND.CAREX","GOOD.ARTEMISIA","HALOPHYTIC.SHRUB","HIMTNMEADOWSPP","MEADOW.CAREX","OTHER.ALLIUM","OTHER.CAREX","SHRUB","SUB.SHRUB","TREE","XEROPHYTIC.SHRUB","CXPED","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","TOTALWTHECTARE","RC.Class","state.Class"
"233",233,2015,"BH-BUUTSAGAAN","GURVAN TOLGOI","BH-Buutsagaan / Gurvan tolgoi","I","Sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,1,0.75,0,0.75,0,1,0,0,0,0,0,6,7,0,0,0,0,0,26.25,NA,1,0,0,0,0,8,0,0.25,0,0,0.75,0,0,0.25,45.5,31.5,14,150.6035309,"I","1"
"234",234,2015,"BH-BUUTSAGAAN","TOLIIN TEEG","BH-Buutsagaan / Toliin teeg","III","Gravelly",7,2,2.2,2,"No","STKR-grass-forbs rangeland in Gravelly hills ESG, Steppe",0,3.25,0,0,0,0,7.25,0,0,0,0,0,2.75,3.25,0,0,0,0,0,5,NA,7.25,18.25,0,0,0,2.25,0,0,0,0,0,0,0,2.5,37.25,49,11,204.004776,"III","2"
"235",235,2015,"BH-BUUTSAGAAN","ZAMYN HUDAG","BH-Buutsagaan / Zamyn hudag","I","Sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,0.75,0,0,0,0,1,0,0,0,0,0,1,2,0,0,20.5,0,0,3.5,NA,1,0.25,0,0,0,6.25,0,0,0,0,0.5,0,0,0.5,44.75,50,16,197.4046021,"I","1"
"236",236,2015,"BH-ERDENETSOGT","HUJRYN GOLYN AGIT","BH-Erdenetsogt / Hujryn golyn agit","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,1.5,17,2,17,0,23.75,0,0,0,0,0,2,3.75,0.5,0,0,0,0,4.75,NA,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,36.5,9,290.0068054,"III","2"
"237",237,2015,"BH-ERDENETSOGT","SHAR DUSH TOLGOI","BH-Erdenetsogt / Shar dush tolgoi","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,2.5,2,7.5,2,0,34,0,0,0,0,0,6,11,5,0,0,0,0,3.25,NA,34,0,0,0,0,0.25,0,0,0,0,1.75,0,0,1,61.75,30.75,15,498.2116699,"III","2"
"238",238,2015,"BH-ERDENETSOGT","TSAGAAN CHULUUT","BH-Erdenetsogt / Tsagaan chuluut","IV","Loamy",2,3,3.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,1.5,13.25,12.5,13.25,0,30.75,0,0,0,0,0,3.25,10,2.75,0,0,0,0,4,2,30.75,1,0,0,0,0,0,0,0.25,0,0,0,0,2.25,67.75,26.5,12,482.8113098,"III","2"
"239",239,2015,"BH-ERDENETSOGT","TSAGAAN DENJ","BH-Erdenetsogt / Tsagaan denj","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0.5,10.5,5.5,10.5,0,33,0,0,0,0,0,5.5,8,1.5,0,0,0,0,7.25,2,33,0,0,0,0,1.75,0,0,1.5,0,0,0,0,0,58.25,29.75,16,230.0053711,"III","2"
"240",240,2015,"BH-ERDENETSOGT","UHEGIIN AM","BH-Erdenetsogt / Uhegiin am","II","Gravelly",1,2,2.1,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,0,0,18.75,0,0,29.5,0,0,0,0,0,0.75,12.25,19.25,0,0,0,0,3.75,NA,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,70.25,25.5,10,226.405304,"I","1"
"241",241,2015,"BH-GALUUT","AGITYN AM","BH-Galuut / Agityn am","III","Gravelly",7,2,2.2,2,"No","STKR-grass-forbs rangeland in Gravelly hills ESG, Steppe",0,6.5,16.75,23,16.75,0,19.5,0,0,0,0,0,15.25,19.25,0,0,0,0,0,16.25,1,19.5,0,0,0,0,0,0,0,0,0,0,0,0,11.25,78.75,11.25,9,172.0040283,"III","2"
"242",242,2015,"BH-GALUUT","BAYANTSAGAAN","BH-Galuut / Bayantsagaan","III","Gravelly",7,2,2.2,2,"No","STKR-grass-forbs rangeland in Gravelly hills ESG, Steppe",0,6,3.25,6.5,3.25,0,0.25,0,0,0,0,0,13.5,56.25,0,0,0,0,0,52.75,NA,0.25,0,0,0,0,0,0,0,0,0,0,0,0,10.5,73,21,10,212.6049652,"I","1"
"243",243,2015,"BH-GALUUT","JINST","BH-Galuut / Jinst","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,11.5,6.75,24,6.75,0,0,0,0,0,0,0,2,14.75,0,0,0,0,0,20.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52.5,27.5,8,217.8050842,"I","1"
"244",244,2015,"BH-GALUUT","SUMBER","BH-Galuut / Sumber","III","Sandy loam",8,2,2.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,19.5,10.25,24.5,10.25,0,0,0,0,0,0,0,12.5,19.75,0,0,0,0,0,24.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,58.75,21.75,8,192.6044922,"I","1"
"245",245,2015,"BH-GALUUT","TEELIIN RASHAAN","BH-Galuut / Teeliin rashaan","III","Gravelly",7,2,2.2,2,"No","STKR-grass-forbs rangeland in Gravelly hills ESG, Steppe",0,0,0,27,0,0,6.5,0,0,0,0,0,17.75,19.5,0,0,0,0,0,26,NA,6.5,0,0,0,0,0,0,0,0,0,0,0,0,11.75,59.75,27.75,8,142.8033295,"I","1"
"246",246,2015,"BH-GALUUT","ULAAN TOLGOI","BH-Galuut / Ulaan tolgoi","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,6.25,0.25,33.75,0.25,0,0,0,0,0,0,0,9,43.5,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,72.75,18.25,8,210.2049103,"III","2"
"247",247,2015,"BH-GURVANBULAG","BULAGTYN SHANAA","BH-Gurvanbulag / Bulagtyn shanaa","I","High water table",4,1,1.1,1,"Yes","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0,0,0,13.25,0,0,0,0,0,14,55.75,0,0,0,0,0,0,1,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,77.25,14.5,4,203.0047455,"II","2"
"248",248,2015,"BH-GURVANBULAG","DUULGANAT","BH-Gurvanbulag / Duulganat","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,2.75,0,2.75,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.75,32.5,3,435.8102112,"I","1"
"249",249,2015,"BH-GURVANBULAG","GETSIIN UVUR","BH-Gurvanbulag / Getsiin uvur","IV","Loamy",2,3,3.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,23.5,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NA,2,248.0057983,"III","2"
"250",250,2015,"BH-GURVANBULAG","NARIIN","BH-Gurvanbulag / Nariin","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,8,0,0,9,0,0,0,0,0,0,67.25,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,78.75,19.75,4,217.4050903,"I","1"
"251",251,2015,"BH-GURVANBULAG","TSAGAAN HAMAR","BH-Gurvanbulag / Tsagaan hamar","I","Gravelly",1,1,1.2,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,0,3,6,3,0,0,0,0,0,0,0,0.5,45.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,38.75,5,207.204834,"I","1"
"252",252,2015,"BH-HUREEMARAL","AGIIN HOOLOI","BH-Hureemaral / Agiin hooloi","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,3.25,0,3.5,0,1.5,1.5,0,0,0,7.25,0,0,0,0,0,0,39.75,1,0,3.75,0,0,5.75,1,0,0,0,0,2.25,5.75,0,1,59.5,37.25,12,421.0098572,"I","1"
"253",253,2015,"BH-HUREEMARAL","DELGERMURUN","BH-Hureemaral / Delgermurun","I","Sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0.5,0,3.75,0,10.25,0,0,0,0,0,0,0,0.75,0.25,0,5.75,0,0,9.5,1,0,2.25,0,0,7.25,3.5,0,0,0,0,0,7.25,0,0,44,50.5,12,194.4045563,"I","1"
"254",254,2015,"BH-HUREEMARAL","EHRIIN ZUUN","BH-Hureemaral / Ehriin zuun","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,5.25,0,5,0,1,1,0,0,0,5.25,1,5.5,0,0,0,0,27.25,1,0,5.75,0,0,6.5,0,0,0,0,0,0,6.5,0,1.5,66.5,32,13,214.4050293,"I","1"
"255",255,2015,"BH-HUREEMARAL","NORVILON","BH-Hureemaral / Norvilon","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,0.75,0,3.25,0,2.75,0,0.75,0.75,0,0,0,5,1,0,0,30,0,0,0,1,0,1,0,0,3.75,4,0,0,0,0,1,3.75,0,0.5,60.5,30.75,16,275.2064514,"I","1"
"256",256,2015,"BH-HUREEMARAL","SHILUUSTEIN ZUUN","BH-Hureemaral / Shiluustein zuun","I","Sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,0,8.75,0,0.75,0.25,2.5,2.5,0,0,0,0.75,2,0.75,0,6.5,0,0,5.25,1,0.25,1,0,0,21.75,1.25,0,0,1.75,0,2.25,21.75,0,0,60.75,36.75,16,196.4045868,"I","1"
"257",257,2015,"BH-JINST","ATS HUREN","BH-Jinst / Ats huren","I","Sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,2.5,0,2,0,9.5,0,0,0,0,0,0,1.25,0,0.25,0,0,0,0,11,NA,0,0.75,1.25,0,0.25,7.5,0,0,0,0,5.25,0.25,0,0,41.5,55,17,226.0052948,"I","1"
"258",258,2015,"BH-JINST","CHULUUN OVOO","BH-Jinst / Chuluun ovoo","I","Sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,NA,0,0,0,NA,0,0,0,0,NA,0,1.75,0,0,0,0,0,24.25,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,31.75,62.5,4,57.80135345,"I","1"
"259",259,2015,"BH-JINST","HUH CHULUUN HOVIL","BH-Jinst / Huh chuluun hovil","I","Sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,1,0,2.5,0.75,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,20.75,NA,0,0,0,0,0,0.25,0,0,0,0,0.75,0,0,0.75,48.5,44.75,12,181.8042603,"I","1"
"260",260,2015,"BH-JINST","HUH TOLGOI","BH-Jinst / Huh tolgoi","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,1.5,0,0,0,0.25,0,0,0,0,0,0,1.25,0,0,0,9.25,0,0,0,NA,0,2.25,0,0,2.75,5,0,0,0,0,6.75,2.75,0,0,31,64.25,12,113.4026489,"II","2"
"261",261,2015,"BH-JINST","HUIS","BH-Jinst / Huis","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0.75,NA,0,0.25,0,NA,0,0,0,0,NA,0,0.25,0,0,7,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.5,NA,NA,NA,13.25,76.5,7,48.00112152,"II","2"
"262",262,2015,"BH-SHINEJINST","SHAR UNDUR","BH-Shinejinst / Shar Undur","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,0,NA,0,0,0,NA,0,0,0,0,NA,0.5,0,0,0,12.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.5,NA,NA,NA,24.25,41,5,137.4032288,"I","1"
"263",263,2015,"BH-SHINEJINST","TAMSAGYN TAL","BH-Shinejinst / Tamsagyn tal","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,0,NA,0,0,0,NA,0,0,0,0,NA,1.75,0,0,0,33,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8.25,NA,NA,NA,41.25,30,4,178.604187,"I","1"
"264",264,2015,"BH-SHINEJINST","TSAGAAN DERS","BH-Shinejinst / Tsagaan ders","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,2.25,NA,0,0,0,NA,0,0,0,0,NA,0.25,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.25,0,0,0,0,1.75,NA,NA,NA,4.5,25.5,7,120.8028259,"II","2"
"265",265,2015,"BH-SHINEJINST","ZARAAGIIN EH","BH-Shinejinst / Zaraagiin eh","I","Sandy",16,1,1.2,2,"No","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,21.75,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5.5,NA,NA,NA,27.75,34.25,5,215.8050537,"I","1"
"266",266,2015,"BH-ULZIIT","BAIN BUDUUN","BH-Ulziit / Bain buduun","I","Gravelly",7,1,1.1,1,"Yes","STKR-grass-forbs rangeland in Gravelly hills ESG, Steppe",0,7,0,32.75,3,0,8,0,0,0,0,0,1,1.5,0.25,0,0,0,0,27.25,NA,8,0,0,0,0,0,0,0,0,0,9,0,0,0,74.75,8.25,14,246.0057526,"I","1"
"267",267,2015,"BH-ULZIIT","DUSHIIN UVUR","BH-Ulziit / Dushiin uvur","III","Sandy loam",8,2,2.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,16.25,0,18.5,1,0,3.25,0,0,0,0,0,2,1.75,0,0,0,0,0,3.5,2,3.25,0,0,0,0,0,0,0,0,0,14.75,0,0,0,54.25,43,11,277.2065125,"IV","4"
"268",268,2015,"BH-ULZIIT","GURVAN OVOO","BH-Ulziit / Gurvan ovoo","II","Sandy loam",8,2,2.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,1.25,0,11.75,0.5,0,1.75,0,0,0,0,0,2.75,8.25,0,0,0,0,0,5.75,NA,1.75,0,0,0,0,0,0,0,0,0,19.5,0,0,0,48.5,20.25,12,198.0046234,"IV","4"
"269",269,2015,"BH-ULZIIT","MUST","BH-Ulziit / Must","III","Sandy loam",8,2,2.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,20,0,0.25,1,0,19,0,0,0,0,0,1.75,11,0,0,0,0,0,14,2,19,0,0,0,0,0,0,0,0,0,0.75,0,0,0.25,57.25,17,11,197.8046265,"III","3"
"270",270,2015,"BH-ULZIIT","SAIN HUDAG","BH-Ulziit / Sain hudag","II","Gravelly",11,2,2.1,2,"No","STKR-STGL/STGO- Grass with Semishrubs rangeland in Gravelly hills ESG, Semi desert steppe",0,8.5,0,12.5,0,0,0.75,0,0,0,0,0,3.5,15.25,0.25,0,0,0,0,15.75,2,0.75,0,0,0,0,0,0,0,0.25,0,7.5,0,0,0,57,9.5,17,126.2029495,"I","1"
"271",271,2015,"BH-ZAG","BOGINY AM","BH-Zag / Boginy am","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,10.25,3.75,10.25,0,17.25,0,0,0,0,0,0.75,3.25,0,0,0,0,0,23.25,NA,17.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.75,52.25,46.75,9,450.4105225,"I","1"
"272",272,2015,"BH-ZAG","GANTS UUDET","BH-Zag / Gants uudet","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,1.5,14.5,0,14.5,0,16,0,0,0,0,0,1.25,0.75,0,0,0,0,0,32,2,16,0,0,0,0,0,0,0,0,0,4.75,0,0,1.25,59,36.25,9,448.2104797,"I","1"
"273",273,2015,"BH-ZAG","SENJIT","BH-Zag / Senjit","I","Gravelly",7,1,1.1,1,"Yes","STKR-grass-forbs rangeland in Gravelly hills ESG, Steppe",0,5.5,11.75,0,11.75,0,5.25,35.5,35.5,0,0,0,10,0,0,0,0,0,0,12.5,2,5.25,0,0,0,0,0,0,0,0,0,0,0,0,10,61.75,34.25,7,1240.029053,"III","2"
"274",274,2015,"BH-ZAG","ZALAA-OVOO","BH-Zag / Zalaa-ovoo","I","Gravelly",7,1,1.1,1,"Yes","STKR-grass-forbs rangeland in Gravelly hills ESG, Steppe",0,0,8.75,6,8.75,0,11.75,0,0,0,0,0,3.75,0,0.25,0,0,0,0,12.25,2,11.75,0,0,0,0,0,0,0,0,0,1,0,0,1.5,39.75,57.25,10,162.6038055,"III","2"
"275",275,2015,"BU-BAYAN-AGT","BRIGADIIN TUV3","BU-Bayan-Agt / Brigadiin tuv3","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,26.5,0,0,47,0,0,0,0,0,42.25,25,12.75,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,29.5,0,96,4,9,198.8046417,"III","2"
"276",276,2015,"BU-BAYAN-AGT","BUGIIN CHULUU6","BU-Bayan-Agt / Bugiin chuluu6","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,9.75,0,24.5,0,0,41.25,0,0,0,0,0,38.75,15,0,0.5,0,0,0,0,0,41.25,0,0,0,0,0,0,0,0,0,0,0,32.25,1,87.5,12.5,9,178.4041595,"III","2"
"277",277,2015,"BU-BAYAN-AGT","DASHDENDEV2","BU-Bayan-Agt / Dashdendev2","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,8.75,0,18.5,0,0,49.25,8,8,0,0,0,32.5,15,4.5,3.75,0,0,0,0,0,49.25,0,0,0,0,0,0,0,0,0,0,0,4.25,5,86.25,13.75,15,219.8051453,"III","2"
"278",278,2015,"BU-BAYAN-AGT","HUNDLUN5","BU-Bayan-Agt / Hundlun5","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,14.5,0,7,0,0,49.5,4,4,0,0,0,49.5,19,1.75,0,0,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0,29.25,0,94.25,5.75,10,174.0040741,"III","2"
"279",279,2015,"BU-BAYAN-AGT","MODTOI TOLGOI1","BU-Bayan-Agt / Modtoi tolgoi1","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,8,0,14.5,0,0,47,14.5,14.5,0,0,0,46.5,12.25,9,0,0,0,0,4,0,47,0,0,0,0,0,0,0,0,0,0,0,31.25,0,95.5,4.5,12,183.2042847,"I","1"
"280",280,2015,"BU-BAYAN-AGT","NOGOO BRIGAD4","BU-Bayan-Agt / Nogoo brigad4","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,16.75,0,0,38,0,0,0,0,0,34.5,15.75,7.75,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,29.75,0,28.25,0,94.25,5.75,8,159.0037231,"III","2"
"281",281,2015,"BU-BAYANNUUR","ANTENII AR1","BU-Bayannuur / Antenii ar1","II","High water table",10,2,2.1,2,"No","ACSP dominated solonchak in HWT ESG, Steppe",0,31.75,0,0,0,0,31.75,15.25,15.25,0,0,0,27,0,0,0,0,0,0,0,1,31.75,0,0,0,0,3.5,0,0,0,0,10.75,0,24,0,72.25,27.75,11,79.20185089,"III","3"
"282",282,2015,"BU-BAYANNUUR","BAISHINGIIN DENJ5","BU-Bayannuur / Baishingiin denj5","II","Sandy loam",8,2,2.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,14.5,0,0.25,24.25,0,35.25,0,0,0,0,0,11,19,0,0,0,0,0,26.75,1,35.25,0,0,0,0,0,0,0,0,0,13,0,0,11,76.25,23.5,11,178.804184,"I","1"
"283",283,2015,"BU-BAYANNUUR","DALIN GOL2","BU-Bayannuur / Dalin gol2","IV","Deep Sandy",9,3,3.1,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,42.5,0,0,0.25,0,12.25,13,13,0,0,0,17.5,0,0,0,0,0,0,0,NA,12.25,0,0,0,0,0,0,0,0,0,1,0,16.25,1.25,61,39,9,45.00105286,"III","3"
"284",284,2015,"BU-BAYANNUUR","HAR NUDEN3","BU-Bayannuur / Har nuden3","IV","Deep Sandy",9,3,3.1,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,6.25,0,0,36,0,21.5,8,8,0,0,0,4.75,0,0,0,0,0,0,0,1,21.5,0,0,0,0,0,0,0,0,0,10.75,0,0,4.75,60.75,38.5,10,151.2035522,"III","3"
"285",285,2015,"BU-BAYANNUUR","ULAAN HEREM4","BU-Bayannuur / Ulaan herem4","I","Deep Sandy",9,1,1.1,1,"Yes","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0.25,12.5,0,31,0.25,0,28.5,16,16,0,0,0,0,5.5,0,0,0,0,0,16.75,1,28.5,0,0,0,0,0,0,0,0,0,8.5,0,0,0,73,26.75,12,327.0076294,"I","1"
"286",286,2015,"BU-BUGAT","BAYANBULAG2","BU-Bugat / Bayanbulag2","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,1,0,0,8.5,13.75,13.75,0,0,0,23.5,4.5,0,4.25,0,0,0,0,0,8.5,0,0,0,45.75,0,0,0,0,0,0,45.75,8.25,0,91.75,1,13,295.8069458,"III","2"
"287",287,2015,"BU-BUGAT","BURGAST3","BU-Bugat / Burgast3","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.25,0,20.5,0,0,42.25,0,0,0,0,0,31.75,5.25,0,6,0,0,0,0,0,42.25,0,0,0,0,0,0,0,0.5,0,0,0,16.5,0,86.5,4.5,11,158.4037018,"III","2"
"288",288,2015,"BU-BUGAT","BUURULJUUT5","BU-Bugat / Buuruljuut5","I","High water table",5,1,1.1,1,"Yes","Grass - forbs mountain meadow rangeland in High water table ESG, FS",0,1.25,0,0.75,0,0,77,0,0,0,0,0,29.75,4.25,0,3,0,0,0,0,0,77,7.25,0,0,0,0.25,0,1.5,0,0,0,0,8,8.25,97.25,NA,15,86.80202484,"I","1"
"289",289,2015,"BU-BUGAT","DUNDAT4","BU-Bugat / Dundat4","II","Loamy",3,2,2.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,9.25,0,9.5,0,0,70,0,0,0,0,0,20,10.75,0,4.25,0,0,0,0,0,70,2,0,0,0,0.25,0,0,0,0,0,0,9,1.75,95,1.5,15,108.0025253,"III","2"
"290",290,2015,"BU-BUGAT","NAM DABAA1","BU-Bugat / Nam dabaa1","I","Gravelly",1,1,1.2,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,0,0,29.75,0,0,14.75,0,0,0,0,0,25.75,10.75,0,0,0,0,0,7.25,0,14.75,0,0,0,12.5,0,0,0,0,0,0,12.5,19.25,0,90.75,3.25,14,344.0080566,"III","2"
"291",291,2015,"BU-BULGAN","BICHIGT TOLGOI","BU-Bulgan / Bichigt tolgoi","II","Loamy",3,2,2.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0.25,0,25,0,0,56.75,0,0,0,0,0,20.5,3,0,4.5,0,0,0,0,0,56.75,0,0,0,0,0,0,0,0,0,0,0,13.5,0.75,88.25,0.5,10,109.4025574,"III","2"
"292",292,2015,"BU-BULGAN","DOMUU","BU-Bulgan / Domuu","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,0,2.75,5,0,49.5,0.25,0.25,0,0,0,69.75,11.75,8.5,10.5,0,0,0,0,0,49.5,14.25,0,0,0,2.75,0,0,0,0,0,0,52,1.75,98.25,1,22,304.4071045,"III","2"
"293",293,2015,"BU-BULGAN","HAR TOLGOI","BU-Bulgan / Har tolgoi","II","Loamy",3,2,2.1,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,4.25,0,4.25,0,0,23.75,0.25,0.25,0,0,0,42,18.75,24.75,11.75,0,0,0,0,0,23.75,0.25,0,0,0,3.5,0,0,0,0,0,0,28.5,1.5,94,0.25,21,177.8041534,"III","2"
"294",294,2015,"BU-BULGAN","HOLBOO TOLGOI","BU-Bulgan / Holboo tolgoi","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,3.25,0,6,1.5,0,38.25,5.5,5.5,0,0,0,25.25,9.25,8.5,15.25,0,0,0,0,0,38.25,5.25,0,0,4,1.5,0,0,0,0,0,4,2,0,93.25,6.5,26,0,"III","2"
"295",295,2015,"BU-BULGAN","ZUUN TURUU","BU-Bulgan / Zuun turuu","I","Gravelly",1,1,1.2,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",0,7.25,0,12,0,0,54.25,0.25,0.25,0,0,0,12,33.75,0,0,0,0,0,8.5,0,54.25,0,0,0,0,1,0,0,0,0,0,0,6.5,1.5,97,2.5,13,129.8030243,"I","1"
"296",296,2015,"BU-BUREGHANGAI","90 JILIIN UNDURLUG","BU-Bureghangai / 90 jiliin undurlug","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,1.75,0,0,16.75,10.75,10.75,0,0,0,27.25,0,0,0,0,0,0,28.75,0,16.75,0,0,0,0,0,0,0,0,0,6.5,0,18.25,0.75,82.25,11.25,11,308.807251,"I","1"
