,YEAR,SITEID,PLOTID,SITE.PLOT,RC_INTERP,ESG,STM,STATE_INTERP,PHASE_INTERP,REFERENCENUM,REFERENCE,ESGEN,ACHNA,ANNUAL,ARAD,ARFRI,BARTEM,CLEIST,CXDU,LEYM,ELCHN,MEADPF,MEADPG,NISB,PPFF,PPGG,SMBPG,STBA,STGBGL,STGR,STIPA,STKR,SRC,DRYLAND CAREX,GOOD ARTEMISIA,HALOPHYTIC SHRUB,HIMTNMEADOWSPP,MEADOW CAREX,OTHER ALLIUM,OTHER CAREX,SHRUB,SUB-SHRUB,TREE,XEROPHYTIC SHRUB,CXPED,POTAC,POTBI,PCT.FOLIAR.COVER,PCT.BARE.SOIL,SPECIES.COUNT,TOTALWTHECTARE
388,2015,DG-ERDENE,DALAI,DG-Erdene / dalai,III,Sandy loam,12,2,2.2,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0.75,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,NA,NA,NA,15.25,66.25,6,30.0007
389,2015,DG-ERDENE,HASHAALAAGUI TALBAI,DG-Erdene / hashaalaagui talbai,III,Sandy loam,12,2,2.2,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0.25,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,2.25,0,0,0,12.5,68.75,6,40.0009346
390,2015,DG-ERDENE,HUR,DG-Erdene / hur,I,Sandy loam,12,1,1.1,1,Yes,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,1.25,0,0.5,0,4,3.25,0,0,0,0,0,1,0,0,0,19.5,0,0,0,0,3.25,0,3.75,0,0,0,0,0,0,0,4.25,0,0,0,34,51,11,126.0029449
391,2015,DG-ERDENE,SHINE US,DG-Erdene / shine us,I,Sandy loam,12,1,1.1,1,Yes,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0.5,0,0.25,0,0,9.5,0,0,0,0,0,0,10.25,0,0,17.75,0,0,0,0,9.5,0,0.5,0,0,0,0,0,0,0,2.5,0,0,0,40.5,42.5,9,156.0036469
392,2015,DG-ERDENE,TSAGAAN OVOO,DG-Erdene / tsagaan ovoo,I,Loamy,15,1,1.1,1,Yes,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,1.25,NA,0,0,1.25,NA,0,0,0,0,NA,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,NA,NA,NA,17,47.25,7,56.00130844
393,2015,DG-HATANBULAG,AMAR-ULZIIT,DG-Hatanbulag / Amar-ulziit,I,Sandy,16,1,1.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,13.5,NA,0,0,2.75,NA,0,0,0,0,NA,1.75,0,0,0,23.75,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,3.25,NA,NA,NA,44.5,44.75,14,191.0044708
394,2015,DG-HATANBULAG,AMNA-US,DG-Hatanbulag / Amna-us,I,Sandy,16,1,1.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,10.25,NA,0,0,0.25,NA,0,0,0,0,NA,0.25,0,0,0,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.25,NA,NA,NA,23.25,75,10,92.20214844
395,2015,DG-HATANBULAG,SHIVNEE,DG-Hatanbulag / Shivnee,I,Sandy,16,1,1.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,3,NA,0.75,0,1,NA,0,0,0,0,NA,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,NA,NA,NA,20.5,75,8,78.40182495
396,2015,DG-HATANBULAG,SULIN,DG-Hatanbulag / Sulin,I,Sandy,16,1,1.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,NA,NA,NA,14.75,68,4,32.60076523
397,2015,DG-HATANBULAG,TSAGAAN GUVEE,DG-Hatanbulag / Tsagaan guvee,I,Loamy,15,1,1.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,1,NA,0,0,3,NA,0,0,0,0,NA,0,0,0,0,2.25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,15.5,77.5,12,63.40148163
398,2015,DG-HATANBULAG,TSEEL,DG-Hatanbulag / Tseel,I,Sandy,16,1,1.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,0,NA,0,0,0.25,NA,0,0,0,0,NA,0.5,0,0,0,18.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.5,NA,NA,NA,24.5,72.25,10,39.00091171
399,2015,DG-HUVSGUL,DOLOOD,DG-Huvsgul / Dolood,I,Sandy,16,1,1.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,7,0,0,0,0,0.75,0,0,0,0,0,0.25,5.75,0,0,3,0,0,0,0,0.75,0.5,0,0,0,1.5,0,0,0,0,3,0,0,0,21.5,67.25,12,117.002739
400,2015,DG-HUVSGUL,JADAN,DG-Huvsgul / Jadan,II,Loamy,15,1,1.2,2,No,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,1.5,NA,0.5,0,0,NA,0,0,0,0,NA,0.5,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,3.5,0,0,0,0,3,NA,NA,NA,10,83.75,13,20.80048561
