VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,G,GROUPVEG,R,B,RED,GREEN,BLUE
2161,16380,67,6716380,Alaska Arctic Mesic Alder Shrubland,491,491,Mountain Alder-5,56,Shrubland,175,28,0.69,0.22,0.11
2162,16390,67,6716390,Alaska Arctic Mesic-Wet Willow Shrubland,492,492,Feltleaf Willow-Tealeaf Willow-5,175,Shrubland,204,147,0.8,0.69,0.58
2163,16821,67,6716821,Alaska Arctic Scrub Birch-Ericaceous Shrubland - Infrequent Fire,524,524,Dwarf Birch-Labrador Tea-5,221,Shrubland,242,178,0.95,0.87,0.7
2164,16830,67,6716830,Alaska Arctic Mesic Sedge-Willow Tundra,526,526,Tealeaf Willow-Dwarf Birch-5,191,Shrubland,191,191,0.75,0.75,0.75
2165,16840,67,6716840,Alaska Arctic Mesic Sedge-Dryas Tundra,527,527,Entire Leaf Mountain Avens-Richardsons Willow-5,239,Grassland,249,229,0.98,0.94,0.9
2166,16850,67,6716850,Alaska Arctic Acidic Sparse Tundra,528,528,Eight Petal Mountain Avens-Black Crowberry-5,229,Grassland,229,249,0.9,0.9,0.98
2167,16860,67,6716860,Alaska Arctic Non-Acidic Sparse Tundra,529,529,Mountain Avens-Purple Mountain Saxifrage-5,242,Grassland,242,242,0.95,0.95,0.95
2168,16870,67,6716870,Alaska Arctic Lichen Tundra,530,530,Lichen-Alpine Azalea-5,183,Grassland,193,232,0.76,0.72,0.91
2169,16880,67,6716880,Alaska Arctic Acidic Dryas Dwarf-Shrubland,531,531,Mountain Avens-Skeletonleaf Willow-5,216,Shrubland,237,173,0.93,0.85,0.68
2170,16890,67,6716890,Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland,532,532,Mountain Avens-Skeletonleaf Willow-5,226,Shrubland,255,193,1,0.89,0.76
2171,16902,67,6716902,Alaska Arctic Dwarf-Shrubland - Infrequent Fire,534,534,White Arctic Mountain Heather-Black Crowberry-5,193,Shrubland,237,145,0.93,0.76,0.57
2172,16942,67,6716942,Alaska Arctic Tussock Tundra - Infrequent Fire,536,536,Tussock Cottonsedge-Bigelows Sedge-5,216,Grassland,191,216,0.75,0.85,0.85
2173,16970,67,6716970,Alaska Arctic Pendantgrass Freshwater Marsh,537,537,Pendantgrass-5,204,Riparian,0,204,0,0.8,0.8
2174,16980,67,6716980,Alaska Arctic Wet Sedge Meadow,538,538,Water Sedge-Tussock Cottonsedge-5,255,Peatland non-forest,193,193,0.76,1,0.76
2175,16990,67,6716990,Alaska Arctic Mesic Herbaceous Meadow,539,539,Bering Sea Sedge-Boreal Alopecurus-5,237,Grassland,237,0,0.93,0.93,0
2176,17010,67,6717010,Alaska Arctic Coastal Sedge-Dwarf-Shrubland,540,540,Black Crowberry-Alaska Bog Willow-5,130,Shrubland,255,71,1,0.51,0.28
2177,17020,67,6717020,Alaska Arctic Wet Sedge-Sphagnum Peatland,541,541,Cottongrass-Northwest Territory Sedge-Sphagnum-5,237,Peatland non-forest,224,237,0.88,0.93,0.93
2178,17030,67,6717030,Alaska Arctic Dwarf-Shrub-Sphagnum Peatland,542,542,Dwarf Birch-Marsh Labrador Tea-Sphagnum-5,204,Peatland non-forest,193,204,0.76,0.8,0.8
2179,17050,67,6717050,Alaska Arctic Sedge Freshwater Marsh,544,544,Water Sedge-Tall Cottongrass-Common Mares Tail-5,191,Riparian,0,255,0,0.75,1
2180,17060,67,6717060,Alaska Arctic Polygonal Ground Wet Sedge Tundra,545,545,Water Sedge-Tall Cottongrass-Tussock Cottongrass-5,226,Grassland,175,255,0.69,0.89,1
